"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"917","","19.8","23.1","4.8","5.6","4.9","1321.0","14.4","2.1","2.3","1.0","27.5","2.59","0.26","24.4","60.7","11.5","0.3","0.0","0.0","0.0","","","0.0","","","","9.9","86.0","","","0-16","","10.0","","","","","10YR 2/2","","","","","","","bloques subangulares","medios","moderado","60","A11","","1671","claro","suave","","586","8/217 C","","100.0","","no modal","1965-11-10","Rastrojo de Trigo, Trébol blanco, Lolium, Cebadilla criolla, Gramillón.","","true","","","A 1.2 km al S de Est. Vagues.","362","3560-5-3","2","-34.310648","-59.444758","Pampa ondulada","","13 - 1 - N","fresco","no uniforme","ligera","hídrica","","grado 0","Río Tala","RTa ","","Buenos Aires","","","","","clase 0","agrícola","normal","lenta","medio","0 - 1%","clase 5","","media loma alta","6.0","16","0","3","franco limoso"
"918","","19.8","22.7","5.4","6.2","5.1","3548.0","14.3","3.2","1.7","0.6","27.5","1.26","0.112","27.5","62.7","9.3","0.5","0.0","0.0","0.0","","","0.0","","","","7.4","87.0","","","16-26","","11.0","","","","","10YR 3/2","","","","","","","bloques subangulares","finos","moderado","61","A12","","1672","abrupto","suave","","586","8/217 C","","100.0","","no modal","1965-11-10","Rastrojo de Trigo, Trébol blanco, Lolium, Cebadilla criolla, Gramillón.","","true","","","A 1.2 km al S de Est. Vagues.","362","3560-5-3","2","-34.310648","-59.444758","Pampa ondulada","","13 - 1 - N","fresco","no uniforme","ligera","hídrica","","grado 0","Río Tala","RTa ","","Buenos Aires","","","","","clase 0","agrícola","normal","lenta","medio","0 - 1%","clase 5","","media loma alta","6.2","26","16","2","franco limoso"
"919","","29.9","33.3","5.4","6.4","4.7","2482.0","23.1","3.6","2.3","0.9","49.8","0.79","0.08","15.0","39.8","8.8","1.6","0.0","0.0","0.0","","","0.0","","","","11.0","90.0","","","26-43","","10.0","","","Clsk +++","","7.5YR 3/2","","","","","","","prismas","medios","moderado","62","B21","","1673","claro","suave","","586","8/217 C","","100.0","","no modal","1965-11-10","Rastrojo de Trigo, Trébol blanco, Lolium, Cebadilla criolla, Gramillón.","","true","","","A 1.2 km al S de Est. Vagues.","362","3560-5-3","2","-34.310648","-59.444758","Pampa ondulada","","13 - 1 - N","fresco","no uniforme","ligera","hídrica","","grado 0","Río Tala","RTa ","","Buenos Aires","","","","","clase 0","agrícola","normal","lenta","medio","0 - 1%","clase 5","","media loma alta","6.5","43","26","2","arcilloso"
"920","","30.0","33.1","5.4","6.6","4.7","2285.0","22.8","4.1","2.2","0.9","48.9","0.66","0.075","14.4","41.3","9.6","0.2","0.0","0.0","0.0","","","0.0","","","","9.5","91.0","","","43-66","","9.0","","","Clsk +++","","7.5YR 4/4","","","","","","","prismas","medios","moderado","63","B22","","1674","claro","suave","","586","8/217 C","","100.0","","no modal","1965-11-10","Rastrojo de Trigo, Trébol blanco, Lolium, Cebadilla criolla, Gramillón.","","true","","","A 1.2 km al S de Est. Vagues.","362","3560-5-3","2","-34.310648","-59.444758","Pampa ondulada","","13 - 1 - N","fresco","no uniforme","ligera","hídrica","","grado 0","Río Tala","RTa ","","Buenos Aires","","","","","clase 0","agrícola","normal","lenta","medio","0 - 1%","clase 5","","media loma alta","6.5","66","43","1","arcilloso"
"921","","26.2","30.0","5.7","6.6","4.9","3628.0","19.8","3.6","1.9","0.9","31.0","0.35","0.042","22.5","54.8","12.9","1.0","0.3","0.0","0.0","","","0.0","","","","6.6","87.0","","","66-87","","8.0","","","Clsk ++","","7.5YR 4/4","","","","","","","bloques angulares","medios","","64","B23","","1675","claro","suave","","586","8/217 C","","100.0","","no modal","1965-11-10","Rastrojo de Trigo, Trébol blanco, Lolium, Cebadilla criolla, Gramillón.","","true","","","A 1.2 km al S de Est. Vagues.","362","3560-5-3","2","-34.310648","-59.444758","Pampa ondulada","","13 - 1 - N","fresco","no uniforme","ligera","hídrica","","grado 0","Río Tala","RTa ","","Buenos Aires","","","","","clase 0","agrícola","normal","lenta","medio","0 - 1%","clase 5","","media loma alta","6.5","87","66","","arcilloso"
"922","","22.0","24.3","5.5","6.8","4.8","3946.0","16.4","3.0","1.7","0.9","26.7","0.21","0.03","23.7","57.2","14.9","0.9","0.3","0.0","0.0","","","0.0","","","","5.4","90.0","","","87-130","","7.0","","","","","7.5YR 4.5/4","","","","","","","bloques angulares","medios","moderado","65","B31","","1676","claro","suave","Mat. org.++","586","8/217 C","","100.0","","no modal","1965-11-10","Rastrojo de Trigo, Trébol blanco, Lolium, Cebadilla criolla, Gramillón.","","true","","","A 1.2 km al S de Est. Vagues.","362","3560-5-3","2","-34.310648","-59.444758","Pampa ondulada","","13 - 1 - N","fresco","no uniforme","ligera","hídrica","","grado 0","Río Tala","RTa ","","Buenos Aires","","","","","clase 0","agrícola","normal","lenta","medio","0 - 1%","clase 5","","media loma alta","6.7","130","87","","franco limoso"
"923","","29.9","31.5","5.6","6.6","4.9","2208.0","23.1","4.0","2.0","0.8","29.9","0.14","0.023","24.7","58.6","9.7","1.4","0.4","0.0","0.0","","","0.0","","","","5.5","95.0","","","130-170","","6.0","","","","","7.5YR 5/4","","","","","","","bloques angulares","medios","","66","B32","","1677","claro","suave","Mn Fe +","586","8/217 C","","100.0","","no modal","1965-11-10","Rastrojo de Trigo, Trébol blanco, Lolium, Cebadilla criolla, Gramillón.","","true","","","A 1.2 km al S de Est. Vagues.","362","3560-5-3","2","-34.310648","-59.444758","Pampa ondulada","","13 - 1 - N","fresco","no uniforme","ligera","hídrica","","grado 0","Río Tala","RTa ","","Buenos Aires","","","","","clase 0","agrícola","normal","lenta","medio","0 - 1%","clase 5","","media loma alta","","170","130","","franco limoso"
"924","","","31.4","7.2","8.4","6.9","1084.0","","","1.7","0.7","","0.09","0.016","","","","","","","","","","1.7","","","","","","","","170 +","","6.0","","","","","7.5YR 5/4","","Ca +++","","","","","masiva","","","","Cca","","1678","","","","586","8/217 C","","100.0","","no modal","1965-11-10","Rastrojo de Trigo, Trébol blanco, Lolium, Cebadilla criolla, Gramillón.","","true","","","A 1.2 km al S de Est. Vagues.","362","3560-5-3","2","-34.310648","-59.444758","Pampa ondulada","","13 - 1 - N","fresco","no uniforme","ligera","hídrica","","grado 0","Río Tala","RTa ","","Buenos Aires","","","","","clase 0","agrícola","normal","lenta","medio","0 - 1%","clase 5","","media loma alta","","185","170","","franco limoso"
