"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"1067","","21.2","27.6","5.3","5.7","5.1","2853.0","15.7","2.8","2.0","0.7","28.7","2.43","0.238","25.6","59.1","10.1","1.8","0.3","0.0","0.0","","","0.0","","","","","77.0","","","0-9","","10.0","","","","","10YR 3/2","10YR 5/2","","","muy friable","no adhesivo","no plástico","granular","muy finos","moderado","","A11","","2980","abrupto","suave","","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","6.0","9","0","3","franco"
"1068","","21.7","27.2","5.5","5.7","5.0","3736.0","17.0","2.2","1.7","0.8","28.7","2.32","0.213","28.7","61.1","9.3","0.7","0.2","0.0","0.0","","","0.0","","","","","80.0","","","9-16","","11.0","","","","","10YR 3/2","10YR 5/2","","","muy friable","no adhesivo","no plástico","granular","muy finos","moderado","Lombrices","A12","","2981","abrupto","suave","","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","6.0","16","9","3","franco"
"1069","","20.2","27.2","5.4","5.8","4.9","4106.0","15.2","3.0","1.3","0.7","30.2","1.27","0.154","21.9","57.4","11.3","0.9","0.2","0.0","0.0","","","0.0","","","","","74.0","","","16-23","","8.0","","","","","10YR 4/2","10YR 5/2","","","muy friable","no adhesivo","no plástico","granular","finos","moderado","","A3","","2982","claro","ondulado","","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","6.0","23","16","3","franco"
"1070","","21.9","27.4","5.3","6.1","4.8","3162.0","17.1","2.8","1.3","0.7","37.6","0.9","0.119","19.8","49.9","11.6","1.0","0.4","0.0","0.0","","","0.0","","","","","80.0","","","23-34","","8.0","","","Clay skins ++","","10YR 3/2","10YR 4/2","","","firme","ligeramente adhesivo","ligeramente plástico","bloques subangulares","finos","débil","insectos","B1","","2983","claro","quebrado","","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","6.0","34","23","3","franco arcilloso"
"1071","","28.3","32.8","5.4","6.1","4.6","2505.0","22.3","3.9","1.5","0.6","47.7","0.68","0.088","17.0","42.8","8.2","1.0","0.3","0.0","0.0","","","0.0","","","","","86.0","","","34-60","","8.0","","","Clay skins +++","","7.5YR 3/2","","","","muy firme","adhesivo","plástico","bloques subangulares","gruesos","fuerte","insectos","B21","","2984","claro","quebrado","Mat.org. medios, precisos (7.5YR 2/0)","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","6.0","60","34","3","arcilloso"
"1072","","32.9","36.9","5.3","6.4","4.9","2094.0","26.0","4.4","1.9","0.6","54.3","0.47","0.065","15.1","37.2","7.8","0.6","0.1","0.0","0.0","","","0.0","","","","","89.0","","","60-79","","7.0","","","Clay skins +++","","7.5YR 4/2","","","","muy firme","adhesivo","plástico","bloques subangulares","medios","fuerte","","B22","","2985","gradual","quebrado","++ gruesos, sobresalientes","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","6.5","79","60","2","arcilloso"
"1073","","33.0","37.6","5.8","6.6","5.1","1971.0","24.8","5.7","1.9","0.6","51.5","0.44","0.06","16.5","41.3","6.6","0.6","0.0","0.0","0.0","","","0.0","","","","","88.0","","","79-106","","7.0","","","Clay Skins +++","","7.5YR 4/4","","","","firme","ligeramente adhesivo","ligeramente plástico","bloques subangulares","medios","moderado","","B23","","2986","gradual","ondulado","++ gruesos, sobresalientes","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","6.5","106","79","2","arcilloso"
"1074","","23.6","25.7","5.9","6.6","5.0","2505.0","18.8","2.6","1.6","0.6","24.6","0.17","0.035","26.0","58.7","15.2","1.3","0.2","0.0","0.0","","","0.0","","","","","92.0","","","106-128","","5.0","","","Clay skins ++","","7.5YR 5/4","","","","muy friable","ligeramente adhesivo","ligeramente plástico","granular","medios","débil","","B31","","2987","difuso","irregular","+++ gruesos, sobresalientes","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","6.5","128","106","1","franco"
"1075","","25.5","27.5","5.7","6.3","4.8","2053.0","19.7","3.3","1.8","0.7","29.8","0.16","0.031","20.6","53.1","13.8","3.3","0.0","0.0","0.0","","","0.0","","","","","93.0","","","128-250","","5.0","","","Clay skins +","","7.5YR 4/2","","","","muy friable","no adhesivo","no plástico","migajosa","medios","débil","","IIB32","","2988","","","","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","6.5","250","128","","franco limoso"
"1076","","","34.7","7.5","8.0","7.1","1539.0","","","2.6","0.6","","0.14","0.027","","","","","","","","","","2.9","","","","","","","","250+","","5.0","","","Clay skins +","++","7.5YR 5/4","","","","","","","","","","","B33ca","","2989","","","","791","1/110 C","","100.0","","no modal","1965-11-26","Rastrojo de Phalaris (Predominan gramíneas y cardos)","Relieve: Normal subnormal
Reacción al HCL en toda la masa.
A3 algo poroso.","true","","","A la altura del km 66.7 del F.C.G.U. (Est. Torres) desviando por camino secundario al norte 1200 m.","356","3560-11-2","6","-34.42209","-59.116519","Pampa ondulada","","","fresco","uniforme","ligera","hídrica","","grado 0","Solís","Ss","","Buenos Aires","","Brunizem","","","clase 0","ganadero","normal","lenta","lento","0 - 1%","clase 5","clase 2","media loma alta","","410","250","","franco limoso"
