"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"490","27.5","18.9","20.6","5.2","5.4","4.8","1376.0","12.8","4.1","1.7","0.3","25.4","1.93","0.19","25.5","64.1","10.0","0.5","0.0","0.0","0.0","","","0.0","","","1.0","6.4","91.0","","","0 - 16","","10.0","","","","","10YR 3/2","","","","","","","granular","finos","moderado","20 - lombrices","Ap","","1506","abrupto","suave","","563","9/209 C","","","Loess - franco limoso","no modal","1965-10-07","Cultivo de maíz ","Calicata - Sin datos analíticos.
En el B31ca se observan concreciones de tosquillas calcáreas de 2 cm de diámetro; al parecer son de lixiviación. En cambio en el B32ca el calcáreo se presenta mas o menos estratificado, semejante al Ensenadense, muy abundante y consistente.
En el B31ca hay reacción en concreciones. Más de 5 % de CaCO3.
En el B32ca hay reacción en tosquillas que la motea en forma violenta.","true","","","A 14 km al W de Santa Coloma.","370","3560-4-2","40","-34.058957","-59.707758","Pampa ondulada","","I","húmedo","uniforme","ligera","hídrica","","grado 0","Arrecifes","Ar","Es un suelo profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas moderadamente onduladas y pendientes de la Cuenca del Arroyo Arrecifes, en posición de lomas de la Subregión Pampa Ondulada Alta, bien drenado, formado en sedimentos loéssicos, franco limoso, no alcalino, no salino, con pendiente 1 a 3 %.","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","media loma alta","6.0","16","0","3","franco"
"491","29.3","21.0","22.7","5.1","5.3","4.7","879.0","14.0","4.7","1.9","0.4","28.1","1.66","0.163","26.7","62.2","9.3","0.4","0.0","0.0","0.0","","","0.0","","","2.06","6.4","92.0","","","16 - 29","","10.0","","","","","10YR 2/2","","","","","","","bloques angulares","finos","","19","A12","","1507","claro","suave","","563","9/209 C","","","Loess - franco limoso","no modal","1965-10-07","Cultivo de maíz ","Calicata - Sin datos analíticos.
En el B31ca se observan concreciones de tosquillas calcáreas de 2 cm de diámetro; al parecer son de lixiviación. En cambio en el B32ca el calcáreo se presenta mas o menos estratificado, semejante al Ensenadense, muy abundante y consistente.
En el B31ca hay reacción en concreciones. Más de 5 % de CaCO3.
En el B32ca hay reacción en tosquillas que la motea en forma violenta.","true","","","A 14 km al W de Santa Coloma.","370","3560-4-2","40","-34.058957","-59.707758","Pampa ondulada","","I","húmedo","uniforme","ligera","hídrica","","grado 0","Arrecifes","Ar","Es un suelo profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas moderadamente onduladas y pendientes de la Cuenca del Arroyo Arrecifes, en posición de lomas de la Subregión Pampa Ondulada Alta, bien drenado, formado en sedimentos loéssicos, franco limoso, no alcalino, no salino, con pendiente 1 a 3 %.","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","media loma alta","6.5","29","16","3","franco"
"492","40.4","34.5","38.9","5.6","6.3","4.8","1792.0","24.5","8.0","1.5","0.5","53.8","0.79","0.081","17.5","40.6","5.3","0.3","0.0","0.0","0.0","","","0.0","","","0.5","6.5","88.0","","","29 - 63","","10.0","","","","","10YR 3/2","","","","","","","prismas","","","18","B21","","1508","claro","suave","Mat.Org.++","563","9/209 C","","","Loess - franco limoso","no modal","1965-10-07","Cultivo de maíz ","Calicata - Sin datos analíticos.
En el B31ca se observan concreciones de tosquillas calcáreas de 2 cm de diámetro; al parecer son de lixiviación. En cambio en el B32ca el calcáreo se presenta mas o menos estratificado, semejante al Ensenadense, muy abundante y consistente.
En el B31ca hay reacción en concreciones. Más de 5 % de CaCO3.
En el B32ca hay reacción en tosquillas que la motea en forma violenta.","true","","","A 14 km al W de Santa Coloma.","370","3560-4-2","40","-34.058957","-59.707758","Pampa ondulada","","I","húmedo","uniforme","ligera","hídrica","","grado 0","Arrecifes","Ar","Es un suelo profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas moderadamente onduladas y pendientes de la Cuenca del Arroyo Arrecifes, en posición de lomas de la Subregión Pampa Ondulada Alta, bien drenado, formado en sedimentos loéssicos, franco limoso, no alcalino, no salino, con pendiente 1 a 3 %.","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","media loma alta","6.5","63","29","2","arcilloso"
"493","37.9","35.4","36.0","6.3","6.9","5.3","1522.0","25.8","8.1","0.9","0.6","42.2","0.33","0.036","26.1","50.7","6.6","0.5","0.0","0.0","0.0","","","0.0","","","0.5","4.3","98.0","","","63 - 81","","9.0","","","","","10YR 4/2","","","","","","","prismas","","débil","17","B22","","1509","gradual","ondulado","","563","9/209 C","","","Loess - franco limoso","no modal","1965-10-07","Cultivo de maíz ","Calicata - Sin datos analíticos.
En el B31ca se observan concreciones de tosquillas calcáreas de 2 cm de diámetro; al parecer son de lixiviación. En cambio en el B32ca el calcáreo se presenta mas o menos estratificado, semejante al Ensenadense, muy abundante y consistente.
En el B31ca hay reacción en concreciones. Más de 5 % de CaCO3.
En el B32ca hay reacción en tosquillas que la motea en forma violenta.","true","","","A 14 km al W de Santa Coloma.","370","3560-4-2","40","-34.058957","-59.707758","Pampa ondulada","","I","húmedo","uniforme","ligera","hídrica","","grado 0","Arrecifes","Ar","Es un suelo profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas moderadamente onduladas y pendientes de la Cuenca del Arroyo Arrecifes, en posición de lomas de la Subregión Pampa Ondulada Alta, bien drenado, formado en sedimentos loéssicos, franco limoso, no alcalino, no salino, con pendiente 1 a 3 %.","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","media loma alta","6.5","81","63","1","arcilloso limoso"
"494","36.4","","46.2","7.2","7.8","6.3","1120.0","","","","","28.2","0.44","0.055","34.7","59.5","8.6","1.2","0.0","0.0","0.0","","","2.5","","","0.6","","","","","81 - 110","","8.0","","","Fe Mn","++","7.5YR 4/4","","++","","","","","bloques angulares","medios","","16","B31ca","","1510","difuso","ondulado","Fe Mn +","563","9/209 C","","","Loess - franco limoso","no modal","1965-10-07","Cultivo de maíz ","Calicata - Sin datos analíticos.
En el B31ca se observan concreciones de tosquillas calcáreas de 2 cm de diámetro; al parecer son de lixiviación. En cambio en el B32ca el calcáreo se presenta mas o menos estratificado, semejante al Ensenadense, muy abundante y consistente.
En el B31ca hay reacción en concreciones. Más de 5 % de CaCO3.
En el B32ca hay reacción en tosquillas que la motea en forma violenta.","true","","","A 14 km al W de Santa Coloma.","370","3560-4-2","40","-34.058957","-59.707758","Pampa ondulada","","I","húmedo","uniforme","ligera","hídrica","","grado 0","Arrecifes","Ar","Es un suelo profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas moderadamente onduladas y pendientes de la Cuenca del Arroyo Arrecifes, en posición de lomas de la Subregión Pampa Ondulada Alta, bien drenado, formado en sedimentos loéssicos, franco limoso, no alcalino, no salino, con pendiente 1 a 3 %.","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","media loma alta","7.0","110","81","1","franco arcillo limoso"
"495","30.3","","41.4","7.2","7.9","6.5","1149.0","","","","","19.2","0.18","0.025","29.5","59.2","11.4","5.7","0.0","0.0","0.0","","","4.5","","","0.6","","","","","110 - 160","","7.0","","","","++","7.5YR 5/4","","+++","","","","","bloques angulares","medios","","15","B32ca","","1511","","","Fe Mn ++","563","9/209 C","","","Loess - franco limoso","no modal","1965-10-07","Cultivo de maíz ","Calicata - Sin datos analíticos.
En el B31ca se observan concreciones de tosquillas calcáreas de 2 cm de diámetro; al parecer son de lixiviación. En cambio en el B32ca el calcáreo se presenta mas o menos estratificado, semejante al Ensenadense, muy abundante y consistente.
En el B31ca hay reacción en concreciones. Más de 5 % de CaCO3.
En el B32ca hay reacción en tosquillas que la motea en forma violenta.","true","","","A 14 km al W de Santa Coloma.","370","3560-4-2","40","-34.058957","-59.707758","Pampa ondulada","","I","húmedo","uniforme","ligera","hídrica","","grado 0","Arrecifes","Ar","Es un suelo profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas moderadamente onduladas y pendientes de la Cuenca del Arroyo Arrecifes, en posición de lomas de la Subregión Pampa Ondulada Alta, bien drenado, formado en sedimentos loéssicos, franco limoso, no alcalino, no salino, con pendiente 1 a 3 %.","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","media loma alta","7.8","160","110","","franco arcillo limoso"
