"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"12475","30.6","17.8","17.1","6.1","6.5","5.5","6963.0","11.5","3.6","1.5","1.2","21.3","2.36","0.224","26.5","55.6","22.5","0.6","","","","","","0.0","","","","5.3","100.0","77.0","","5-12","","10.0","","","","","10 YR 3/1","10 YR 6/1","","","friable","no adhesivo","no plástico","bloques subangulares","medios","débil","","A1","F","15253","abrupto","suave","","3352","1/1783 C","","","","no modal","1971-05-21","Pelo de chancho (Distichlis sp.), Trébol, Altamisa, Rama negra, Oreja de ratón.","En el B3x los B están cementados.","true","","","A 11.1 km al SSW de Estación Altamirano.","020","3557-25-2","94","-35.458514","-58.189877","","","513 n/s","fresco","uniforme","nula","","","grado 0","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracuol tipico ","","","","ganadero","subnormal","lenta","lento","0 - 1%","clase 4","clase 2","media loma","6.5","16","0","+++","franco limoso"
"12476","63.2","33.4","32.4","7.6","8.5","6.9","2785.0","10.9","12.4","2.7","7.4","47.2","0.53","0.078","15.1","36.6","15.8","0.4","","","","","","0.0","","","","","100.0","","","22-37","","7.0","","","clsk+++","","7.5 YR 3/2","7.5 YR 6/1","FeMn++","","muy firme","adhesivo","plástico","columnar","gruesos","moderado","","IIB2","F","15254","claro","suave","cfd","3352","1/1783 C","","","","no modal","1971-05-21","Pelo de chancho (Distichlis sp.), Trébol, Altamisa, Rama negra, Oreja de ratón.","En el B3x los B están cementados.","true","","","A 11.1 km al SSW de Estación Altamirano.","020","3557-25-2","94","-35.458514","-58.189877","","","513 n/s","fresco","uniforme","nula","","","grado 0","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracuol tipico ","","","","ganadero","subnormal","lenta","lento","0 - 1%","clase 4","clase 2","media loma","8.4","43","16","++","arcilloso"
"12477","65.3","","40.0","8.1","9.2","7.6","1899.0","","","2.9","10.2","41.9","0.36","0.063","17.5","36.5","16.7","0.5","","","","","","4.4","","","","","","","","48-57","","6.0","","","clsk++","++","7.5 YR 4/2","7.5 YR 5/2","FeMn++","","firme","adhesivo","plástico","bloques subangulares","finos","fuerte","","IIB22ca","F","15255","claro","suave","amd","3352","1/1783 C","","","","no modal","1971-05-21","Pelo de chancho (Distichlis sp.), Trébol, Altamisa, Rama negra, Oreja de ratón.","En el B3x los B están cementados.","true","","","A 11.1 km al SSW de Estación Altamirano.","020","3557-25-2","94","-35.458514","-58.189877","","","513 n/s","fresco","uniforme","nula","","","grado 0","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracuol tipico ","","","","ganadero","subnormal","lenta","lento","0 - 1%","clase 4","clase 2","media loma","9.2","58","43","+","arcilloso limoso"
"12478","29.7","","22.5","8.2","9.0","7.5","3545.0","","","2.2","2.3","20.5","0.06","","30.0","65.6","11.3","2.6","","","","","","0.0","","","","","","","","80-100","","","","","","","7.5 YR 4/4","7.5 YR 5/4","FeMn+ CO3Ca++","","muy firme","ligeramente adhesivo","ligeramente plástico","bloques subangulares","medios","moderado","luminosidad muy poroso","IIIB3x","F","15256","gradual","suave","","3352","1/1783 C","","","","no modal","1971-05-21","Pelo de chancho (Distichlis sp.), Trébol, Altamisa, Rama negra, Oreja de ratón.","En el B3x los B están cementados.","true","","","A 11.1 km al SSW de Estación Altamirano.","020","3557-25-2","94","-35.458514","-58.189877","","","513 n/s","fresco","uniforme","nula","","","grado 0","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracuol tipico ","","","","ganadero","subnormal","lenta","lento","0 - 1%","clase 4","clase 2","media loma","7.5","112","58","+","franco limoso"
"12479","32.1","","29.9","7.8","8.6","6.7","3967.0","","","2.7","2.1","21.8","","","27.2","54.7","20.7","2.8","","","","","","0.0","","","","","","","","120-135","","","","","","","7.5 YR 4/4","7.5 YR 5/4","CO3Ca++","","firme","no adhesivo","no plástico","masiva","","","presenta cierta luminosidad","IIICcn","F","15257","","","","3352","1/1783 C","","","","no modal","1971-05-21","Pelo de chancho (Distichlis sp.), Trébol, Altamisa, Rama negra, Oreja de ratón.","En el B3x los B están cementados.","true","","","A 11.1 km al SSW de Estación Altamirano.","020","3557-25-2","94","-35.458514","-58.189877","","","513 n/s","fresco","uniforme","nula","","","grado 0","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracuol tipico ","","","","ganadero","subnormal","lenta","lento","0 - 1%","clase 4","clase 2","media loma","6.5","135","112","","franco limoso"
