"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"18643","26.9","20.0","23.8","5.9","6.2","5.4","3923.0","15.1","2.6","1.9","0.4","28.4","3.34","0.297","20.1","40.8","29.5","1.3","","","","","","0.0","","","","9.5","84.0","68.0","","10-30","","11.0","","","","","10YR 2/1","","","","friable","ligeramente adhesivo","ligeramente plástico","bloques subangulares","medios","moderado","","A1","fresco","9397","claro","suave","","2078","29/1005 C","","100.0","","no modal","1973-10-30","Oxalis, Cardo negro, Trébol blanco, Trébol frutilla, Margarita punzó.","","true","","","A 1.5 km al SSW de Est. Videla Dorna.","017","3560-30-3","50","-35.552615","-58.898095","Loma","extendida","","fresco","uniforme","nula","","","grado 0","Udaondo","Ud","Es un suelo muy oscuro y profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas muy suavemente onduladas, en posición de loma de la Subregión Pampa Ondulada baja, moderadamente bien drenado, desarrollado a partir de sedimentos loéssicos , no alcalino, no salino con pendiente de 0,5-1 %.","Buenos Aires","","","","","clase 0","ganadero","normal","moderada","medio","","clase 5","clase 3","loma","6.5","35","0","3","franco"
"18644","18.8","11.3","10.9","6.6","6.9","5.6","9012.0","5.9","3.7","1.2","0.5","20.9","0.29","","17.3","38.6","39.1","1.4","","","","","","0.0","","","","3.9","100.0","74.0","","38-48","","","","","","","10YR 3/2","","","","friable","no adhesivo","ligeramente plástico","bloques subangulares","medios","moderado","","AC","fresco","9398","claro","suave","","2078","29/1005 C","","100.0","","no modal","1973-10-30","Oxalis, Cardo negro, Trébol blanco, Trébol frutilla, Margarita punzó.","","true","","","A 1.5 km al SSW de Est. Videla Dorna.","017","3560-30-3","50","-35.552615","-58.898095","Loma","extendida","","fresco","uniforme","nula","","","grado 0","Udaondo","Ud","Es un suelo muy oscuro y profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas muy suavemente onduladas, en posición de loma de la Subregión Pampa Ondulada baja, moderadamente bien drenado, desarrollado a partir de sedimentos loéssicos , no alcalino, no salino con pendiente de 0,5-1 %.","Buenos Aires","","","","","clase 0","ganadero","normal","moderada","medio","","clase 5","clase 3","loma","6.5","51","35","2","franco"
"18645","14.2","7.5","6.9","7.1","7.7","5.8","12722.0","2.1","3.5","1.2","0.7","17.3","0.15","","15.0","35.8","45.1","1.8","","","","","","0.0","","","","2.0","100.0","79.0","","52-62","","","","","","","10YR 3/3","","","","muy friable","no adhesivo","no plástico","masiva","","","","C","fresco","9399","abrupto","ondulado","+ finos, débiles","2078","29/1005 C","","100.0","","no modal","1973-10-30","Oxalis, Cardo negro, Trébol blanco, Trébol frutilla, Margarita punzó.","","true","","","A 1.5 km al SSW de Est. Videla Dorna.","017","3560-30-3","50","-35.552615","-58.898095","Loma","extendida","","fresco","uniforme","nula","","","grado 0","Udaondo","Ud","Es un suelo muy oscuro y profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas muy suavemente onduladas, en posición de loma de la Subregión Pampa Ondulada baja, moderadamente bien drenado, desarrollado a partir de sedimentos loéssicos , no alcalino, no salino con pendiente de 0,5-1 %.","Buenos Aires","","","","","clase 0","ganadero","normal","moderada","medio","","clase 5","clase 3","loma","6.5","63","51","2","franco arenoso"
"18646","31.3","23.1","23.1","6.9","7.8","5.7","3287.0","11.9","5.8","3.6","1.8","41.3","0.25","","12.2","27.1","30.5","1.1","","","","","","0.0","","","","4.7","100.0","83.0","","70-80","","","","","Clhm +++","","7.5YR 3/2","","","","firme","adhesivo","plástico","prismas","gruesos","fuerte","","IIB2","fresco","9400","claro","suave","++ gruesos, precisos","2078","29/1005 C","","100.0","","no modal","1973-10-30","Oxalis, Cardo negro, Trébol blanco, Trébol frutilla, Margarita punzó.","","true","","","A 1.5 km al SSW de Est. Videla Dorna.","017","3560-30-3","50","-35.552615","-58.898095","Loma","extendida","","fresco","uniforme","nula","","","grado 0","Udaondo","Ud","Es un suelo muy oscuro y profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas muy suavemente onduladas, en posición de loma de la Subregión Pampa Ondulada baja, moderadamente bien drenado, desarrollado a partir de sedimentos loéssicos , no alcalino, no salino con pendiente de 0,5-1 %.","Buenos Aires","","","","","clase 0","ganadero","normal","moderada","medio","","clase 5","clase 3","loma","6.5","90","63","1","franco arcilloso"
"18647","23.6","","18.3","8.0","8.7","6.8","2173.0","","","3.4","2.4","27.9","","","12.2","33.7","36.7","1.7","","","","","","0.01","","","","","","","","95-115","","","","","Clhm +","","7.5YR 4/4","","Ca +","","friable","ligeramente adhesivo","ligeramente plástico","bloques subangulares","gruesos","moderado","","IIB3","fresco","9401","claro","suave","+++ gruesos, precisos","2078","29/1005 C","","100.0","","no modal","1973-10-30","Oxalis, Cardo negro, Trébol blanco, Trébol frutilla, Margarita punzó.","","true","","","A 1.5 km al SSW de Est. Videla Dorna.","017","3560-30-3","50","-35.552615","-58.898095","Loma","extendida","","fresco","uniforme","nula","","","grado 0","Udaondo","Ud","Es un suelo muy oscuro y profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas muy suavemente onduladas, en posición de loma de la Subregión Pampa Ondulada baja, moderadamente bien drenado, desarrollado a partir de sedimentos loéssicos , no alcalino, no salino con pendiente de 0,5-1 %.","Buenos Aires","","","","","clase 0","ganadero","normal","moderada","medio","","clase 5","clase 3","loma","7.0","119","90","1","franco"
"18648","18.4","","14.8","8.2","9.1","7.2","2067.0","","","3.2","2.4","20.8","","","11.2","32.8","44.2","2.2","","","","","","0.01","","","","","","","","120-140","","","","","","","7.5YR 5/6","","Ca +","","muy friable","no adhesivo","no plástico","masiva","","","nódulos de cementación","IIC","fresco","9402","","","+++ gruesos, sobresalientes","2078","29/1005 C","","100.0","","no modal","1973-10-30","Oxalis, Cardo negro, Trébol blanco, Trébol frutilla, Margarita punzó.","","true","","","A 1.5 km al SSW de Est. Videla Dorna.","017","3560-30-3","50","-35.552615","-58.898095","Loma","extendida","","fresco","uniforme","nula","","","grado 0","Udaondo","Ud","Es un suelo muy oscuro y profundo, de aptitud agrícola, que se encuentra en un paisaje de lomas muy suavemente onduladas, en posición de loma de la Subregión Pampa Ondulada baja, moderadamente bien drenado, desarrollado a partir de sedimentos loéssicos , no alcalino, no salino con pendiente de 0,5-1 %.","Buenos Aires","","","","","clase 0","ganadero","normal","moderada","medio","","clase 5","clase 3","loma","7.5","150","119","vestigios","franco arenoso"
