"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"45327","","","16.4","","4.5","3.8","","1.1","1.1","0.2","0.3","34.4","","0.17","21.7","26.0","4.4","14.9","11.7","3.7","0.5","","","","","","0.14","","","","","0-20","","","","","","","","2.5YR 3/4","","ligeramente duro","","","","bloques subangulares","medios","moderado","","A","","15406","claro","ondulado","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","20","0","3","arcilloso"
"45328","","","16.2","","4.4","3.7","","0.1","0.4","0.2","0.3","54.6","","0.1","13.0","17.6","2.1","8.6","9.8","4.4","0.3","","","","","","0.05","","","","","20-55","","","","","","","","10R 3/6","","duro","","","","prismas","gruesos","moderado","","Bt1","","15407","gradual","suave","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","55","20","2","arcilloso"
"45329","","","19.1","","4.4","3.7","","0.1","0.3","0.2","0.3","60.4","","0.08","13.5","19.1","2.1","5.3","5.5","1.6","0.3","","","","","","0.03","","","","","55-95","","","","","+","","","10R 3/6","","muy duro","","","","prismas","medios","moderado","","Bt2","","15408","gradual","suave","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","95","55","2","arcilloso"
"45330","","","29.9","","4.5","3.8","","0.3","","0.2","0.3","70.9","","0.05","16.8","21.7","2.6","2.5","9.4","2.0","2.2","","","","","","0.01","","","","","95-130","","","","","+","","","10R 3/6","","muy duro","","","","prismas","medios","fuerte","","Bt3","","15409","gradual","suave","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","130","95","","arcilloso"
"44888","","","11.6","","4.6","3.9","","0.5","0.1","0.3","0.3","69.27","","0.03","11.33","16.22","0.99","1.24","1.13","1.08","0.51","","","","","","0.01","","","","","130-490","","","","","+","","","10R 4/6","","muy duro","","","","prismas","gruesos","fuerte","Nódulos hematíticos escasos","Bt4","","15410","gradual","ondulado","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","490","130","","arcilloso"
"44889","","","8.4","","4.5","3.8","","0.7","0.1","0.3","0.3","64.12","","0.04","6.44","16.22","1.98","2.06","1.49","1.24","0.51","","","","","","0.02","","","","","490-590","","","","","","","","10R 4/6","","muy duro","","","","bloques subangulares","medios","moderado","Nódulos hematíticos comunes","Bw1","","15411","abrupto","suave","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","590","490","","arcilloso"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590-610","","","","","","","","10R 4/6","","","","","","","","","Horizonte nodular, con predominancia de nódulos goethíticos","H.N.F.","","15412","","","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","610","590","","arcilloso"
"44890","","","19.5","","4.5","3.9","","0.6","0.1","0.4","0.2","47.68","","0.03","23.46","31.87","3.01","3.93","2.68","2.5","0.87","","","","","","0.01","","","","","610-630","","","","","","","","10R 4/6","","muy duro","","","","bloques subangulares","medios","moderado","Nódulos hematíticos comunes","BC1","","15413","gradual","ondulado","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","630","610","","arcilloso"
"45331","","","13.9","","4.5","4.0","","0.3","0.7","0.2","0.9","61.2","","0.03","19.6","27.3","3.4","4.3","3.2","3.0","0.8","","","","","","0.01","","","","","630-680","","","","","","","","10R 4/6","","duro","","","","bloques subangulares","medios","moderado","Nódulos hematíticos escasos","BC2","","15414","gradual","ondulado","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","680","630","","arcilloso"
"45332","","","13.8","","4.7","4.0","","0.3","0.8","0.2","0.8","63.0","","0.02","18.6","25.2","4.8","4.5","3.5","3.7","0.3","","","","","","0.02","","","","","680-730","","","","","","","","10R 5/6","","ligeramente duro","","","","bloques subangulares","medios","moderado","Nódulos hematíticos escasos","BC3","","15415","gradual","ondulado","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","730","680","","arcilloso"
"44891","","","21.4","","5.7","4.7","","0.6","0.1","0.3","0.3","50.74","","0.05","0.76","17.08","4.84","5.86","5.3","3.93","0.43","","","","","","0.01","","","","","730-810","","","","","","","","10R 5/6","","ligeramente duro","","","","bloques subangulares","medios","moderado","Nódulos hematíticos escasos","BC4","","15416","claro","ondulado","","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","810","730","","arcilloso"
"44892","","","59.3","","4.8","4.1","","0.8","0.1","0.2","0.3","38.63","","0.01","9.34","14.64","4.54","7.27","6.46","6.51","0.5","","","","","","0.01","","","","","810-875","","","","","","","","10R 5/6","","ligeramente duro","","","","masiva","","","","Cr1","","15417","gradual","ondulado","+ (caoliníticos)","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","875","810","","arcilloso"
"44893","","","44.7","","5.7","4.7","","0.6","0.1","0.2","0.4","41.56","","0.01","12.24","16.83","2.86","5.43","5.92","4.13","0.46","","","","","","0.01","","","","","875-925","","","","","","","","10R 5/6","","ligeramente duro","","","","masiva","","","","Cr2","","15418","gradual","ondulado","++ (caoliníticos)","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","925","875","","arcilloso"
"44894","","","43.9","","5.0","4.6","","0.8","0.1","0.2","0.5","50.23","","0.02","14.75","19.12","5.41","6.12","4.64","4.77","0.61","","","","","","0.01","","","","","925-975","","","","","","","","10R 5/6","","ligeramente duro","","","","masiva","","","","Cr3","","15419","gradual","ondulado","++ (caoliníticos)","3403","M0","","","","no modal","2007-07-31","","","true","","","Leandro N. Alem","","","","-27.585833","-55.254444","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M0","","","Misiones","","Paleohumult ortóxico, muy fino","","","","","","","","","","","loma","","975","925","","arcilloso"
