"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"18334","20.7","16.2","15.5","","10.0","8.1","","5.4","1.3","2.0","7.5","20.8","0.71","0.082","25.8","48.9","30.1","0.2","","","","","","0.0","","","3.27","","100.0","","","5-15","","9.0","","","","","10 YR 3/2","10 YR 4/2","","","friable","no adhesivo","no plástico","bloques subangulares","medios","moderado","","A1","","15144","claro","suave","","3333","1/2362 C","130.0","70.0","","no modal","1973-06-06","Pelo de chancho, Gramillón","","true","","","A 7.2 km al S de Est. Gral. Paz (Ranchos)","IR-H 015","3557-25-3","23","-35.587114","-58.315877","","","","fresco húmedo","uniforme","","","","","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracualf típico, fina","","","","ganadero","subnormal","muy lenta","muy lento","0 - 1%","clase 1","","bajo","9.2","15","0","+++","franco limoso"
"18335","64.4","","33.9","","10.1","8.5","","","","3.8","15.9","52.7","0.52","0.065","18.8","28.2","16.9","0.1","","","","","","2.1","","","6.83","","","","","25-30","","8.0","","","clsk ++","","7.5 YR 3/2","7.5 YR 4/2","Fe Mn ++ Ca++","","muy firme","muy adhesivo","muy plástico","prismas compuestos irregulares","gruesos","","","IIB21","","15145","claro","suave","emp","3333","1/2362 C","130.0","70.0","","no modal","1973-06-06","Pelo de chancho, Gramillón","","true","","","A 7.2 km al S de Est. Gral. Paz (Ranchos)","IR-H 015","3557-25-3","23","-35.587114","-58.315877","","","","fresco húmedo","uniforme","","","","","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracualf típico, fina","","","","ganadero","subnormal","muy lenta","muy lento","0 - 1%","clase 1","","bajo","9.6","35","15","+++","arcilloso"
"18336","73.6","","30.5","","9.9","8.4","","","","4.0","11.0","55.4","0.29","","20.2","26.0","13.5","0.1","","","","","","5.0","","","5.77","","","","","40-45","","","","","clsk+++","","7.5 YR 4/4","7.5 YR 3/4","FeMn++ Ca++","","muy firme","muy adhesivo","muy plástico","prismas compuestos irregulares","","","","IIB22","","15146","claro","suave","emp","3333","1/2362 C","130.0","70.0","","no modal","1973-06-06","Pelo de chancho, Gramillón","","true","","","A 7.2 km al S de Est. Gral. Paz (Ranchos)","IR-H 015","3557-25-3","23","-35.587114","-58.315877","","","","fresco húmedo","uniforme","","","","","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracualf típico, fina","","","","ganadero","subnormal","muy lenta","muy lento","0 - 1%","clase 1","","bajo","8.8","50","35","+++","arcilloso"
"18337","38.4","","21.9","","9.8","8.9","","","","3.1","8.6","32.0","0.1","","23.9","41.2","24.9","0.8","","","","","","1.1","","","2.21","","","","","80-100","","","","","clsk+","+","7.5 YR 4/4","7.5 YR 5/4","FeMn+++ Ca+++","","firme","ligeramente adhesivo","no plástico","bloques subangulares","medios","moderado","","IIIB3","","15147","gradual","suave","emp","3333","1/2362 C","130.0","70.0","","no modal","1973-06-06","Pelo de chancho, Gramillón","","true","","","A 7.2 km al S de Est. Gral. Paz (Ranchos)","IR-H 015","3557-25-3","23","-35.587114","-58.315877","","","","fresco húmedo","uniforme","","","","","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracualf típico, fina","","","","ganadero","subnormal","muy lenta","muy lento","0 - 1%","clase 1","","bajo","8.6","110","50","+","franco limoso"
"18338","28.9","","22.5","","9.6","7.6","","","","2.6","10.1","27.3","","","19.5","43.9","28.0","0.8","","","","","","0.0","","","1.46","","","","","120-130","","","","","","","7.5 YR 4/4","7.5 YR 5/4","FeMn+ Ca++","","friable","no adhesivo","no plástico","masiva","","","","IIIC","","15148","","","efd","3333","1/2362 C","130.0","70.0","","no modal","1973-06-06","Pelo de chancho, Gramillón","","true","","","A 7.2 km al S de Est. Gral. Paz (Ranchos)","IR-H 015","3557-25-3","23","-35.587114","-58.315877","","","","fresco húmedo","uniforme","","","","","Los Mochos","LM","Es un suelo gris pardo claro, poco profundo, de aptitud ganadera, se encuentra en loma plana (Glasis de ladera s/Tricart) en posición de microdepresiones en la Subregión Pampa Ondulada baja, transición a la Subregión de la Pampa Deprimida, algo pobremente drenado, formado sobre sedimentos loéssicos limosos finos, alcalino sódico y débilmente salino entre los 12 cm. a 54 cm. de profundidad, con pendientes de 0-0,5 %.","Buenos Aires","","Natracualf típico, fina","","","","ganadero","subnormal","muy lenta","muy lento","0 - 1%","clase 1","","bajo","8.6","130","110","","franco limoso"
