"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"7216","46.09","45.7","45.8","","6.6","5.7","","35.6","6.9","1.7","1.5","44.75","3.74","0.34","35.94","53.27","0.11","0.62","","0.06","0.19","","","0.0","","","2.05","","","100.0","","02-10","","11.0","","","humic skins escasos","","10YR 3/1","10YR 6/1","","ligeramente duro","muy firme","adhesivo","plástico","bloques angulares","medios","fuerte","","A11","F","4773","abrupto","suave","FeMn comunes, finos y precisos","1216","ER1-86C","100.0","80.0","Limos calcáreos","modal","1992-11-04","Pastura implantada (festuca, trébol blanco)","","true","s w","","Octavo Distrito Albardón - Dpto. Gualeguay","403","3360-23-1","3","-33.13198","-59.467098","Planicie","aluvial antigua","","fresco","no uniforme","nula","hídrica","pedregosidad","grado 0","Puerto Ruíz","PoRu","","Entre Ríos","","Ocracualfe vértico","","","clase 0","ganadero","subnormal","muy lenta","muy lento","0 - 1%","clase 2","clase 2","bajo","","12","0","RR","franco arcillo limoso"
"7217","46.02","45.94","42.99","","7.9","6.8","","36.9","5.9","1.69","1.45","43.55","0.72","0.08","36.97","56.29","0.03","0.13","","","","","","0.0","","","2.43","","","","","14-20","","9.0","","","clay humic skins escasos","","10YR 4/1","","","muy duro","firme","adhesivo","plástico","bloques angulares","medios","moderado","Eluviado por las caras de los agregados","A12","F","4774","claro","suave","FeMn abundantes, finos y precisos","1216","ER1-86C","100.0","80.0","Limos calcáreos","modal","1992-11-04","Pastura implantada (festuca, trébol blanco)","","true","s w","","Octavo Distrito Albardón - Dpto. Gualeguay","403","3360-23-1","3","-33.13198","-59.467098","Planicie","aluvial antigua","","fresco","no uniforme","nula","hídrica","pedregosidad","grado 0","Puerto Ruíz","PoRu","","Entre Ríos","","Ocracualfe vértico","","","clase 0","ganadero","subnormal","muy lenta","muy lento","0 - 1%","clase 2","clase 2","bajo","","24","12","R","franco arcillo limoso"
"7218","48.0","46.9","47.0","","8.2","7.3","","34.6","7.5","2.3","2.5","49.55","0.48","0.08","31.91","50.04","0.03","0.36","","0.02","","","","0.0","","","2.58","","","100.0","","27-40","","6.0","","","","","10YR 4/2","","","ligeramente duro","friable","adhesivo","plástico","bloques subangulares","finos","débil","slickensides comunes","B21","H","4775","claro","suave","FeMn escasos, finos, débiles","1216","ER1-86C","100.0","80.0","Limos calcáreos","modal","1992-11-04","Pastura implantada (festuca, trébol blanco)","","true","s w","","Octavo Distrito Albardón - Dpto. Gualeguay","403","3360-23-1","3","-33.13198","-59.467098","Planicie","aluvial antigua","","fresco","no uniforme","nula","hídrica","pedregosidad","grado 0","Puerto Ruíz","PoRu","","Entre Ríos","","Ocracualfe vértico","","","clase 0","ganadero","subnormal","muy lenta","muy lento","0 - 1%","clase 2","clase 2","bajo","","45","24","R","franco arcillo limoso"
"7219","48.59","45.63","45.7","","8.2","7.2","","33.6","7.6","1.93","2.5","49.55","0.42","0.07","31.0","49.05","0.03","0.39","","0.55","","","","0.0","","","2.34","","","100.0","","52-64","","6.0","","","clay skins, escasos","","10YR 5/1","","CO3Ca escasas y finas","ligeramente duro","friable","adhesivo","plástico","bloques cuneiformes","medios","débil","slickensides"") abundantes y gruesas","B22ca","H/M","4776","gradual","suave","FeMn escasas, finas, débiles","1216","ER1-86C","100.0","80.0","Limos calcáreos","modal","1992-11-04","Pastura implantada (festuca, trébol blanco)","","true","s w","","Octavo Distrito Albardón - Dpto. Gualeguay","403","3360-23-1","3","-33.13198","-59.467098","Planicie","aluvial antigua","","fresco","no uniforme","nula","hídrica","pedregosidad","grado 0","Puerto Ruíz","PoRu","","Entre Ríos","","Ocracualfe vértico","","","clase 0","ganadero","subnormal","muy lenta","muy lento","0 - 1%","clase 2","clase 2","bajo","","80","45","","franco arcillo limoso"
