"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"4055","","","","7.0","","","","19.4","5.5","2.16","0.2","26.0","2.63","0.29","","46.0","","","28.0","","","","","0.0","","","1.5","","","","","0-20","","9.0","","","","","7.5YR 3/2","7.5YR 4/2","","duro","firme","muy adhesivo","muy plástico","bloques subangulares","medios","fuerte","","A","","8762","claro","suave","","1974","PR 6","","100.0","volucionados sobre un sedimento franco a franco arcilloso","modal","2008-10-24","Rastrojo de trigo","Los valores de Arena Media corresponden a Arena Total ya que la textura se realizó por el método de Bouyoucos.","true","","","a 2,5 km al E de la localidad de Las Lajitas","","2563-13-2","","-24.735667","-64.166889","Planicies interfluviales del sector intermedio del abanico aluvial","","","","","nula","hídrica","","grado 0","El Totoral","ETo","","Salta","","Argiustol típico","","","clase 0","agrícola","normal","moderadamente lenta","lento","0 - 1%","clase 1","clase 3","tendido","","20","0","","franco"
"4056","","","","6.4","","","","14.0","5.0","1.29","0.2","32.0","1.16","0.14","","40.0","","","28.0","","","","","0.0","","","0.36","","","","","20-41","","8.0","","","xxx","","7.5YR 3/2","7.5YR 3/2","","duro","firme","muy adhesivo","muy plástico","bloques subangulares","medios","fuerte","","Bt1","","8763","claro","suave","","1974","PR 6","","100.0","volucionados sobre un sedimento franco a franco arcilloso","modal","2008-10-24","Rastrojo de trigo","Los valores de Arena Media corresponden a Arena Total ya que la textura se realizó por el método de Bouyoucos.","true","","","a 2,5 km al E de la localidad de Las Lajitas","","2563-13-2","","-24.735667","-64.166889","Planicies interfluviales del sector intermedio del abanico aluvial","","","","","nula","hídrica","","grado 0","El Totoral","ETo","","Salta","","Argiustol típico","","","clase 0","agrícola","normal","moderadamente lenta","lento","0 - 1%","clase 1","clase 3","tendido","","41","20","","franco arcilloso"
"4057","","","","6.4","","","","15.2","4.6","0.88","0.2","35.0","0.71","0.09","","39.0","","","26.0","","","","","0.0","","","0.28","","","","","41-55","","8.0","","","xxx","","5YR 3/2","5YR 3/2","","duro","firme","muy adhesivo","muy plástico","bloques subangulares","medios","moderado","","Bt2","","8764","claro","suave","","1974","PR 6","","100.0","volucionados sobre un sedimento franco a franco arcilloso","modal","2008-10-24","Rastrojo de trigo","Los valores de Arena Media corresponden a Arena Total ya que la textura se realizó por el método de Bouyoucos.","true","","","a 2,5 km al E de la localidad de Las Lajitas","","2563-13-2","","-24.735667","-64.166889","Planicies interfluviales del sector intermedio del abanico aluvial","","","","","nula","hídrica","","grado 0","El Totoral","ETo","","Salta","","Argiustol típico","","","clase 0","agrícola","normal","moderadamente lenta","lento","0 - 1%","clase 1","clase 3","tendido","","55","41","","franco arcilloso"
"4058","","","","7.1","","","","","","0.72","0.2","30.0","0.39","0.05","","41.0","","","29.0","","","","","1.8","","","0.25","","","","","55-91","","8.0","","","","","5YR 3/4","5YR 4/6","","ligeramente duro","friable","muy adhesivo","muy plástico","bloques subangulares","medios","débil","","BC","","8765","claro","suave","","1974","PR 6","","100.0","volucionados sobre un sedimento franco a franco arcilloso","modal","2008-10-24","Rastrojo de trigo","Los valores de Arena Media corresponden a Arena Total ya que la textura se realizó por el método de Bouyoucos.","true","","","a 2,5 km al E de la localidad de Las Lajitas","","2563-13-2","","-24.735667","-64.166889","Planicies interfluviales del sector intermedio del abanico aluvial","","","","","nula","hídrica","","grado 0","El Totoral","ETo","","Salta","","Argiustol típico","","","clase 0","agrícola","normal","moderadamente lenta","lento","0 - 1%","clase 1","clase 3","tendido","","91","55","","franco arcilloso"
"4059","","","","7.5","","","","","","0.98","0.2","32.0","0.48","0.06","","40.0","","","28.0","","","","","5.0","","","0.24","","","","","91-162","","8.0","","","","xx","5YR 3/4","5YR 4/6","","blando","muy friable","muy adhesivo","muy plástico","bloques subangulares","medios","débil","abundantes pseudomicelios","BCk","","8766","abrupto","suave","","1974","PR 6","","100.0","volucionados sobre un sedimento franco a franco arcilloso","modal","2008-10-24","Rastrojo de trigo","Los valores de Arena Media corresponden a Arena Total ya que la textura se realizó por el método de Bouyoucos.","true","","","a 2,5 km al E de la localidad de Las Lajitas","","2563-13-2","","-24.735667","-64.166889","Planicies interfluviales del sector intermedio del abanico aluvial","","","","","nula","hídrica","","grado 0","El Totoral","ETo","","Salta","","Argiustol típico","","","clase 0","agrícola","normal","moderadamente lenta","lento","0 - 1%","clase 1","clase 3","tendido","","162","91","","franco arcilloso"
"4060","","","","7.7","","","","","","0.88","0.3","5.0","0.06","0.02","","45.0","","","50.0","","","","","5.4","","","0.23","","","","","162+","","3.0","","","","xx","7.5YR 4/4","7.5YR 5/4","","blando","muy friable","ligeramente adhesivo","ligeramente plástico","masiva","","","","2Ck","","8767","","","","1974","PR 6","","100.0","volucionados sobre un sedimento franco a franco arcilloso","modal","2008-10-24","Rastrojo de trigo","Los valores de Arena Media corresponden a Arena Total ya que la textura se realizó por el método de Bouyoucos.","true","","","a 2,5 km al E de la localidad de Las Lajitas","","2563-13-2","","-24.735667","-64.166889","Planicies interfluviales del sector intermedio del abanico aluvial","","","","","nula","hídrica","","grado 0","El Totoral","ETo","","Salta","","Argiustol típico","","","clase 0","agrícola","normal","moderadamente lenta","lento","0 - 1%","clase 1","clase 3","tendido","","","162","","franco arenoso"
