"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","24.7","","15.5","7.9","8.3","6.7","958.0","","","4.9","3.3","22.1","2.02","0.19","20.4","51.8","14.7","6.4","4.3","0.7","","","","0.01","","","3.65","","","","","2-4","","11.0","","","","","10YR 5/2","10YR 7/2","","","friable","no adhesivo","no plástico","masiva","","","","Enlame","","8557","abrupto","suave","","1933","351C INTA Castelar","","","desarrollado a partir de una sucesión de sedimentos marinos y continentales","modal","1976-10-23","","Al no disponer de la ficha original, se cargó en base a las publicaciones donde aparecía la serie.","true","","","16 km al sur de la ciudad de Gualeguay. Dpto. Islas del Ibicuy","","3360-23-3","","-33.295569","-59.309288","Dunas","de la antigua costa de transgresión y emersión - Lomas eólicas de acumulación/deflación","Dm","","","","","","grado 0","La Totora","LTo","","Entre Ríos","","Haplacuente aérico","","","clase 2","","normal","muy lenta","","","","clase 0","pendiente","","5","0","3","franco limoso"
"","70.7","","","7.9","8.6","7.3","430.0","","","","","67.6","0.37","0.061","20.6","27.4","2.0","1.7","1.2","","","","","1.0","","","14.31","","","","","10-30","","6.0","","","","","10YR 1.7/1","","CaCO3 xx; microconcreciones de CaCO3 xx; FeMn xx","","firme","ligeramente adhesivo","ligeramente plástico","bloques subangulares","finos","débil","","IIC1","","8558","claro","suave","FeMn c f d","1933","351C INTA Castelar","","","desarrollado a partir de una sucesión de sedimentos marinos y continentales","modal","1976-10-23","","Al no disponer de la ficha original, se cargó en base a las publicaciones donde aparecía la serie.","true","","","16 km al sur de la ciudad de Gualeguay. Dpto. Islas del Ibicuy","","3360-23-3","","-33.295569","-59.309288","Dunas","de la antigua costa de transgresión y emersión - Lomas eólicas de acumulación/deflación","Dm","","","","","","grado 0","La Totora","LTo","","Entre Ríos","","Haplacuente aérico","","","clase 2","","normal","muy lenta","","","","clase 0","pendiente","","35","5","2","arcilloso"
"","50.5","","","8.1","8.8","7.2","430.0","","","","","40.4","0.3","0.046","26.5","48.3","5.4","3.9","1.7","0.3","","","","0.01","","","8.11","","","","","40-55","","7.0","","","clsk x","","10YR 3/2","","Microconcreciones de CaCO3 x; FeMn xx","","firme","adhesivo","plástico","prismas compuestos regulares","medios","fuerte","","IIIC2","","8559","gradual","suave","FeMn a m p (7.5YR 4/6)","1933","351C INTA Castelar","","","desarrollado a partir de una sucesión de sedimentos marinos y continentales","modal","1976-10-23","","Al no disponer de la ficha original, se cargó en base a las publicaciones donde aparecía la serie.","true","","","16 km al sur de la ciudad de Gualeguay. Dpto. Islas del Ibicuy","","3360-23-3","","-33.295569","-59.309288","Dunas","de la antigua costa de transgresión y emersión - Lomas eólicas de acumulación/deflación","Dm","","","","","","grado 0","La Totora","LTo","","Entre Ríos","","Haplacuente aérico","","","clase 2","","normal","muy lenta","","","","clase 0","pendiente","","57","35","1","arcilloso limoso"
"","56.0","","","8.4","9.1","7.3","544.0","","","","","49.0","","","14.3","35.0","10.9","3.2","1.8","0.1","","","","0.01","","","4.29","","","","","65-90","","","","","clsk x","","2.5Y 5/2","","Microconcreciones de CaCO3 x","","firme","adhesivo","plástico","prismas compuestos regulares","medios","fuerte","","IVC3","","8560","gradual","suave","FeMn a m p (7.5YR 5/8)","1933","351C INTA Castelar","","","desarrollado a partir de una sucesión de sedimentos marinos y continentales","modal","1976-10-23","","Al no disponer de la ficha original, se cargó en base a las publicaciones donde aparecía la serie.","true","","","16 km al sur de la ciudad de Gualeguay. Dpto. Islas del Ibicuy","","3360-23-3","","-33.295569","-59.309288","Dunas","de la antigua costa de transgresión y emersión - Lomas eólicas de acumulación/deflación","Dm","","","","","","grado 0","La Totora","LTo","","Entre Ríos","","Haplacuente aérico","","","clase 2","","normal","muy lenta","","","","clase 0","pendiente","","98","57","","arcilloso"
"","48.5","","","8.2","9.1","7.0","698.0","","","","","41.7","","","20.7","44.9","7.7","3.9","1.6","0.2","","","","0.01","","","2.35","","","","","120-130","","","","","","","2.5Y 5/3","","Microconcreciones de CaCO3 x","","firme","ligeramente adhesivo","ligeramente plástico","bloques angulares","medios","débil","","IVC4","","8561","gradual","suave","FeMn c f d (7.5YR 5/8)","1933","351C INTA Castelar","","","desarrollado a partir de una sucesión de sedimentos marinos y continentales","modal","1976-10-23","","Al no disponer de la ficha original, se cargó en base a las publicaciones donde aparecía la serie.","true","","","16 km al sur de la ciudad de Gualeguay. Dpto. Islas del Ibicuy","","3360-23-3","","-33.295569","-59.309288","Dunas","de la antigua costa de transgresión y emersión - Lomas eólicas de acumulación/deflación","Dm","","","","","","grado 0","La Totora","LTo","","Entre Ríos","","Haplacuente aérico","","","clase 2","","normal","muy lenta","","","","clase 0","pendiente","","160","98","","arcilloso limoso"
"","41.3","","","8.1","9.2","6.8","828.0","","","","","36.9","","","23.1","42.8","15.1","3.7","1.4","0.1","","","","0.01","","","1.7","","","","","170-180","","","","","","","7.5YR 4/4","","Microconcreciones de CaCO3 xxx","","firme","ligeramente adhesivo","ligeramente plástico","bloques subangulares","medios","débil","","VC5","","8562","","","","1933","351C INTA Castelar","","","desarrollado a partir de una sucesión de sedimentos marinos y continentales","modal","1976-10-23","","Al no disponer de la ficha original, se cargó en base a las publicaciones donde aparecía la serie.","true","","","16 km al sur de la ciudad de Gualeguay. Dpto. Islas del Ibicuy","","3360-23-3","","-33.295569","-59.309288","Dunas","de la antigua costa de transgresión y emersión - Lomas eólicas de acumulación/deflación","Dm","","","","","","grado 0","La Totora","LTo","","Entre Ríos","","Haplacuente aérico","","","clase 2","","normal","muy lenta","","","","clase 0","pendiente","","180","160","","franco arcilloso"
