"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"673","","","11.7","","8.63","8.31","","","1.2","2.82","8.13","","0.44","","","","","","","","","","","1.68","","","5.3","","","","1.38","0-30","","","","","","+++","10YR 4/2","","","","muy friable","no adhesivo","no plástico","bloques angulares","medios","débil","arenas eólicas","A","H","13821","claro","suave","","3052","P2 C25","","80.0","Arenas y limos","no modal","2014-10-07","Avena-cebada","La observación se hizo sobre campo natural, pero en la finca hay pasturas de alfalfa, avena y viñas.","true","","","La Dormida, 1 km al W de la ruta 7","","","","-33.339972","-67.88725","Ondulaciones arenosas","","","fresco húmedo","no uniforme","ligera","hídrica","","","Perfil 2 - Comisión 25 - Convenio Inta-Enargas","","","Mendoza","","Torrifluvente típico","","","","agricolo-ganadero","normal","moderadamente rápida","medio","0 - 1%","","","","8.5","30","0","2","areno franco"
"674","","","17.7","","8.59","8.28","","","7.0","4.36","9.83","","0.33","","","","","","","","","","","1.54","","","10.0","","","","1.58","30-52","","","","","","+++","10YR4/3","","","","friable","no adhesivo","ligeramente plástico","bloques angulares","medios","moderado","","2","F","13822","claro","suave","","3052","P2 C25","","80.0","Arenas y limos","no modal","2014-10-07","Avena-cebada","La observación se hizo sobre campo natural, pero en la finca hay pasturas de alfalfa, avena y viñas.","true","","","La Dormida, 1 km al W de la ruta 7","","","","-33.339972","-67.88725","Ondulaciones arenosas","","","fresco húmedo","no uniforme","ligera","hídrica","","","Perfil 2 - Comisión 25 - Convenio Inta-Enargas","","","Mendoza","","Torrifluvente típico","","","","agricolo-ganadero","normal","moderadamente rápida","medio","0 - 1%","","","","9.0","52","30","2","franco arenoso"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+++","10YR 4/3","","","","firme","adhesivo","plástico","bloques angulares","medios","moderado","cristales de yeso","3","H","13823","claro","suave","+","3052","P2 C25","","80.0","Arenas y limos","no modal","2014-10-07","Avena-cebada","La observación se hizo sobre campo natural, pero en la finca hay pasturas de alfalfa, avena y viñas.","true","","","La Dormida, 1 km al W de la ruta 7","","","","-33.339972","-67.88725","Ondulaciones arenosas","","","fresco húmedo","no uniforme","ligera","hídrica","","","Perfil 2 - Comisión 25 - Convenio Inta-Enargas","","","Mendoza","","Torrifluvente típico","","","","agricolo-ganadero","normal","moderadamente rápida","medio","0 - 1%","","","","8.5","86","52","1","franco limoso"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+++","10YR 3/3","","","","muy friable","no adhesivo","no plástico","masiva","","","","4(Ab)","H","13824","","","","3052","P2 C25","","80.0","Arenas y limos","no modal","2014-10-07","Avena-cebada","La observación se hizo sobre campo natural, pero en la finca hay pasturas de alfalfa, avena y viñas.","true","","","La Dormida, 1 km al W de la ruta 7","","","","-33.339972","-67.88725","Ondulaciones arenosas","","","fresco húmedo","no uniforme","ligera","hídrica","","","Perfil 2 - Comisión 25 - Convenio Inta-Enargas","","","Mendoza","","Torrifluvente típico","","","","agricolo-ganadero","normal","moderadamente rápida","medio","0 - 1%","","","","7.5","96","86","","areno franco"
