"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"5863","27.2","16.4","16.5","7.1","7.3","6.1","1533.0","8.2","2.9","1.1","4.2","19.1","1.06","0.136","33.6","71.7","7.1","2.1","0.0","0.0","0.0","","","0.0","","","","1.3","99.0","","","0-17","","8.0","","","","","10YR 3/2","","","","friable","","","bloques subangulares","medios","moderado","","A1","seco","5543","abrupto","suave","","1348","2/710 C","300.0","80.0","","no modal","1968-03-21","Altamisa, Ciperáceas, Lengua de vaca.","El perfil generalizado es un suelo alcalino solonetz solodizado.
El contacto A1/B21t está decolorado, el proceso de solodización es muy incipiente, no hay horizonte A2.
El B21t bien formado se destaca por estar bien estructurado. Abunda en barnices y los slickensides son comunes.
El B22t se caracteriza por la abundancia de Slickensides de hasta 60 cm de longitud y a 45º del frente de la calicata, cortándose muchos de ellos en cúspide x.
Concreciones de FeMn y moteados aumentan en profundidad.
Concreciones de CaCO3 son comunes desde el B21t para abajo.
El B3 presenta un 10 % de fragipán y el C hasta 20 %.
El C es el único que presenta reacciones al HCl en la masa.","true","","","A 6.5 km al ESE de Gral. Hornos.","039","3560-18-3","19","-34.911313","-58.850931","I","loma extendida","153","","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","lento","0 - 1%","clase 3","clase 1","loma","6.0","17","0","3","franco limoso"
"5864","83.7","","34.5","8.5","8.9","7.2","604.0","","","2.8","15.4","53.9","0.34","0.043","14.1","40.9","4.6","0.6","0.0","0.0","0.0","","","0.8","","","1.3","","","","","17-61","","5.0","","","Clsk +++ (7.5YR 3/2) Slck ++","","7.5YR 3/2","","Ca++ Fe Mn+","","muy firme","muy adhesivo","muy plástico","prismas","medios","moderado","","B21","fresco","5544","claro","suave","++ finos, precisos","1348","2/710 C","300.0","80.0","","no modal","1968-03-21","Altamisa, Ciperáceas, Lengua de vaca.","El perfil generalizado es un suelo alcalino solonetz solodizado.
El contacto A1/B21t está decolorado, el proceso de solodización es muy incipiente, no hay horizonte A2.
El B21t bien formado se destaca por estar bien estructurado. Abunda en barnices y los slickensides son comunes.
El B22t se caracteriza por la abundancia de Slickensides de hasta 60 cm de longitud y a 45º del frente de la calicata, cortándose muchos de ellos en cúspide x.
Concreciones de FeMn y moteados aumentan en profundidad.
Concreciones de CaCO3 son comunes desde el B21t para abajo.
El B3 presenta un 10 % de fragipán y el C hasta 20 %.
El C es el único que presenta reacciones al HCl en la masa.","true","","","A 6.5 km al ESE de Gral. Hornos.","039","3560-18-3","19","-34.911313","-58.850931","I","loma extendida","153","","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","lento","0 - 1%","clase 3","clase 1","loma","8.8","61","17","2","arcilloso"
"5865","59.6","","33.0","7.9","8.6","7.3","744.0","","","1.9","11.8","42.4","0.17","0.031","18.7","50.4","6.2","1.0","0.0","0.0","0.0","","","1.0","","","0.8","","","","","61-100","","5.0","","","Clsk (7.5YR 3/2) Slck +++","","7.5YR 4/2","","Ca++ Fe Mn++","","firme","adhesivo","plástico","prismas","medios","fuerte","","B22","fresco","5545","claro","suave","++ finos, precisos","1348","2/710 C","300.0","80.0","","no modal","1968-03-21","Altamisa, Ciperáceas, Lengua de vaca.","El perfil generalizado es un suelo alcalino solonetz solodizado.
El contacto A1/B21t está decolorado, el proceso de solodización es muy incipiente, no hay horizonte A2.
El B21t bien formado se destaca por estar bien estructurado. Abunda en barnices y los slickensides son comunes.
El B22t se caracteriza por la abundancia de Slickensides de hasta 60 cm de longitud y a 45º del frente de la calicata, cortándose muchos de ellos en cúspide x.
Concreciones de FeMn y moteados aumentan en profundidad.
Concreciones de CaCO3 son comunes desde el B21t para abajo.
El B3 presenta un 10 % de fragipán y el C hasta 20 %.
El C es el único que presenta reacciones al HCl en la masa.","true","","","A 6.5 km al ESE de Gral. Hornos.","039","3560-18-3","19","-34.911313","-58.850931","I","loma extendida","153","","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","lento","0 - 1%","clase 3","clase 1","loma","9.2","100","61","2","arcilloso limoso"
"5866","44.0","","32.3","8.2","8.6","7.1","698.0","","","1.9","10.9","35.4","0.08","","27.3","57.6","6.1","0.9","0.0","0.0","0.0","","","1.9","","","0.5","","","","","100-152","","","","","Clsk +","","7.5YR 4/4","","Ca++ Fe Mn++","","firme","ligeramente adhesivo","ligeramente plástico","bloques subangulares","gruesos","moderado","","B3","fresco","5546","gradual","suave","+++ gruesos, sobresalientes (5YR 3/3)","1348","2/710 C","300.0","80.0","","no modal","1968-03-21","Altamisa, Ciperáceas, Lengua de vaca.","El perfil generalizado es un suelo alcalino solonetz solodizado.
El contacto A1/B21t está decolorado, el proceso de solodización es muy incipiente, no hay horizonte A2.
El B21t bien formado se destaca por estar bien estructurado. Abunda en barnices y los slickensides son comunes.
El B22t se caracteriza por la abundancia de Slickensides de hasta 60 cm de longitud y a 45º del frente de la calicata, cortándose muchos de ellos en cúspide x.
Concreciones de FeMn y moteados aumentan en profundidad.
Concreciones de CaCO3 son comunes desde el B21t para abajo.
El B3 presenta un 10 % de fragipán y el C hasta 20 %.
El C es el único que presenta reacciones al HCl en la masa.","true","","","A 6.5 km al ESE de Gral. Hornos.","039","3560-18-3","19","-34.911313","-58.850931","I","loma extendida","153","","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","lento","0 - 1%","clase 3","clase 1","loma","9.0","152","100","1","franco arcillo limoso"
"5867","39.6","","31.7","8.1","8.7","7.2","1023.0","","","2.0","8.1","26.3","0.07","","30.8","64.7","7.3","1.7","0.0","0.0","0.0","","","5.4","","","","","","","","152-170","","","","","","++","7.5YR 4/4","","Ca++ Fe Mn++","","friable","","","masiva","","","","C","húmedo","5547","","","+++ gruesos, sobresalientes (5YR 3/3)","1348","2/710 C","300.0","80.0","","no modal","1968-03-21","Altamisa, Ciperáceas, Lengua de vaca.","El perfil generalizado es un suelo alcalino solonetz solodizado.
El contacto A1/B21t está decolorado, el proceso de solodización es muy incipiente, no hay horizonte A2.
El B21t bien formado se destaca por estar bien estructurado. Abunda en barnices y los slickensides son comunes.
El B22t se caracteriza por la abundancia de Slickensides de hasta 60 cm de longitud y a 45º del frente de la calicata, cortándose muchos de ellos en cúspide x.
Concreciones de FeMn y moteados aumentan en profundidad.
Concreciones de CaCO3 son comunes desde el B21t para abajo.
El B3 presenta un 10 % de fragipán y el C hasta 20 %.
El C es el único que presenta reacciones al HCl en la masa.","true","","","A 6.5 km al ESE de Gral. Hornos.","039","3560-18-3","19","-34.911313","-58.850931","I","loma extendida","153","","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","lento","0 - 1%","clase 3","clase 1","loma","8.8","170","152","","franco limoso"
