"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"12211","30.2","20.9","22.9","6.0","7.0","5.5","4932.0","10.5","6.5","3.5","0.4","22.1","3.24","0.322","30.1","27.0","19.3","1.6","","","","","","0.0","","","","6.7","92.0","76.0","","0-23","","10.0","","","","","10YR 2/2","10YR 6/1","","","","","","bloques subangulares","medios","moderado","","A1","fresco","7822","abrupto","ondulado","","1797","1/2035 C","","100.0","E1 + E3 + A4","no modal","1971-05-07","","La fecha no aparece en la ficha original, fue estimada a partir del ingreso de las muestras al laboratorio.","true","","","A 14.3 km al ESE de Est. Cañuelas.","RH 031","3560-24-2","50","-35.103408","-58.606613","","","","fresco húmedo","no uniforme","nula","","","grado 0","Ferreyra","","","Buenos Aires","","","","","clase 0","ganadero","subnormal","moderadamente lenta","medio","0 - 1%","clase 5","clase 3","loma","6.5","23","0","3",""
"12212","41.3","38.5","38.8","6.6","7.7","6.0","5754.0","19.0","14.6","3.8","1.1","47.6","0.62","0.084","17.7","36.0","16.0","0.4","","","","","","0.0","","","","6.1","98.0","86.0","","23-48","","7.0","","","","","7.5YR 4/4","7.5YR 6/4","Fe + Mn ++","","","","","prismas compuestos regulares","medios","moderado","","B2","fresco","7823","claro","ondulado","Mn cfp, Fe efd","1797","1/2035 C","","100.0","E1 + E3 + A4","no modal","1971-05-07","","La fecha no aparece en la ficha original, fue estimada a partir del ingreso de las muestras al laboratorio.","true","","","A 14.3 km al ESE de Est. Cañuelas.","RH 031","3560-24-2","50","-35.103408","-58.606613","","","","fresco húmedo","no uniforme","nula","","","grado 0","Ferreyra","","","Buenos Aires","","","","","clase 0","ganadero","subnormal","moderadamente lenta","medio","0 - 1%","clase 5","clase 3","loma","7.0","48","23","1",""
"12213","28.4","","26.6","7.7","8.0","7.0","4521.0","","","3.3","1.3","24.4","0.1","","26.9","54.4","17.4","2.7","","","","","","1.1","","","","","","","","48-81","","","","","","","7.5YR 5/4","7.5YR 7/4","Ca ++ Fe + Mn +","","","","","bloques subangulares","medios","moderado","E3 + A4. Hay porosidad","B3ca","fresco","7824","claro","ondulado","Mn efp, Fe efp","1797","1/2035 C","","100.0","E1 + E3 + A4","no modal","1971-05-07","","La fecha no aparece en la ficha original, fue estimada a partir del ingreso de las muestras al laboratorio.","true","","","A 14.3 km al ESE de Est. Cañuelas.","RH 031","3560-24-2","50","-35.103408","-58.606613","","","","fresco húmedo","no uniforme","nula","","","grado 0","Ferreyra","","","Buenos Aires","","","","","clase 0","ganadero","subnormal","moderadamente lenta","medio","0 - 1%","clase 5","clase 3","loma","8.2","81","48","1",""
"12214","25.9","","25.3","7.8","8.2","7.0","3699.0","","","3.2","2.1","20.3","0.08","","26.3","58.5","19.0","1.5","","","","","","0.7","","","","","","","","81-160","","","","","","","7.5YR 5/4","","Mn + Ca +","","","","","masiva","","","Hay porosidad","Cca","","7825","","","Mn efp, Fe efp","1797","1/2035 C","","100.0","E1 + E3 + A4","no modal","1971-05-07","","La fecha no aparece en la ficha original, fue estimada a partir del ingreso de las muestras al laboratorio.","true","","","A 14.3 km al ESE de Est. Cañuelas.","RH 031","3560-24-2","50","-35.103408","-58.606613","","","","fresco húmedo","no uniforme","nula","","","grado 0","Ferreyra","","","Buenos Aires","","","","","clase 0","ganadero","subnormal","moderadamente lenta","medio","0 - 1%","clase 5","clase 3","loma","7.4","160","81","",""
