"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","","","10.1","","","","650.0","","","0.5","0.58","7.2","0.23","0.032","","14.0","","","","","","78.2","24.0","14.1","4.4","","","","","","","0-6","7.6","7.2","","","","","10YR 4.5/3","10YR 7/2","","blando","friable","no adhesivo","","grano suelto","","","Granuloso a guijarroso; ligeramente calcáreo, libre en la masa","A1","","14296","claro","suave","","3161","Perfil 117","","","Coluvio proveniente de flancos de anticlinal","no modal","1990-11-01","Estepa arbustiva (Alpataco)","Altitud: 850 metros, relieve plano cóncavo","true","","","15 km al sur de Chorriaca","","","","-38.116667","-70.1","Geomorfología: Depresión intermontana","","","","","","","","","Perfil 117","","","Neuquén","","Torriortente típico","","","","","","","","","","","","","6","0","","areno franco"
"","","","8.8","","","","1500.0","","","0.58","0.4","5.3","0.23","0.028","","14.7","","","","","","80.0","28.0","10.9","4.9","","","","","","","6-40","7.7","8.2","","","","","10YR 5/3","","","suelto","muy friable","","","grano suelto","","","Granuloso a guijarroso; ligeramente calcáreo, libre en la masa","C1","","14297","abrupto","suave","","3161","Perfil 117","","","Coluvio proveniente de flancos de anticlinal","no modal","1990-11-01","Estepa arbustiva (Alpataco)","Altitud: 850 metros, relieve plano cóncavo","true","","","15 km al sur de Chorriaca","","","","-38.116667","-70.1","Geomorfología: Depresión intermontana","","","","","","","","","Perfil 117","","","Neuquén","","Torriortente típico","","","","","","","","","","","","","40","6","","areno franco"
"","","","7.6","","","","400.0","","","0.2","0.56","1.9","","","","2.9","","","","","","95.2","9.0","17.8","4.2","","","","","","","40-78","5.9","","","","","","10YR 4/3","10YR 6/3","","suelto","muy friable","","","laminar","finos","débil","Ligeramente granuloso a ligeramente guijoso; ligeramente calcáreo, libre en la masa","II C2","","14298","abrupto","suave","","3161","Perfil 117","","","Coluvio proveniente de flancos de anticlinal","no modal","1990-11-01","Estepa arbustiva (Alpataco)","Altitud: 850 metros, relieve plano cóncavo","true","","","15 km al sur de Chorriaca","","","","-38.116667","-70.1","Geomorfología: Depresión intermontana","","","","","","","","","Perfil 117","","","Neuquén","","Torriortente típico","","","","","","","","","","","","","78","40","","arenoso"
"","","","6.9","","","","390.0","","","0.2","0.55","3.1","","","","2.4","","","","","","94.5","36.0","20.5","3.8","","","","","","","78-114+","5.3","","","","","","","","","suelto","","","","laminar","finos","débil","Granuloso a guijarroso; ligeramente calcáreo, libre en la masa","III C3","","14299","","","","3161","Perfil 117","","","Coluvio proveniente de flancos de anticlinal","no modal","1990-11-01","Estepa arbustiva (Alpataco)","Altitud: 850 metros, relieve plano cóncavo","true","","","15 km al sur de Chorriaca","","","","-38.116667","-70.1","Geomorfología: Depresión intermontana","","","","","","","","","Perfil 117","","","Neuquén","","Torriortente típico","","","","","","","","","","","","","114","78","","arenoso"
