"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","","5.6","7.0","5.7","5.8","5.4","7626.0","3.4","1.6","0.4","0.2","6.7","0.66","0.067","6.2","14.4","4.9","53.9","19.5","0.6","","","","","","","","1.5","80.0","","","0-16","","10.0","","","","","10YR 3/2","10YR 5,5/1","","ligeramente duro","muy friable","no adhesivo","no plástico","bloques subangulares","medios","débil","","Ap","Húmedo","7751","abrupto","ondulado","","1785","CFI 964","","85.0","Sedimentos Post - Yupoí, asentados sobre Formación Toropí -Yupoí ","modal","1971-05-14","La vegetación está alterada por el uso agrícola, con Setaria geniculata, Schizachyrium sp., Paspalum notatum y Cynodon dactylon. ","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En el Horizonte 2Btss3, Tuyaret, considera que es netamente arcilloso.
En el 5° Horizonte se notan dos colores de la maza que son 2,5Y 5/2 y 10YR 4/3. El color del clsk es 10YR 4/1.
En el los últimos Horizontes se notan dos colores de la masa que son 2,5Y 5/2 y 7,5YR 5,5/4.","true","","","INTA - A 500 mts. Noroeste de la Estación Experimental - sobre un ensayo de tabaco y maíz, a 100 mts. del camino vecinal del lado izquierdo.","2809-10","2960-12-1","2578","-28.444455","-58.992525","Región sedimentaria - Terraza   ","Altillanura ","At 25 ","húmedo","uniforme","ligera","hídrica","","","Rincón de Ambrosio","Rma","","Corrientes","","Paleudoles típicos, franco fina, ","","","","agricolo-ganadero","normal","moderadamente lenta","medio","1 - 3%","clase 3","clase 3","media loma alta","5.8","16","0","Abundantes","areno franco"
"","","9.3","11.7","5.4","5.4","5.2","9840.0","6.3","2.2","0.6","0.2","9.7","0.93","0.075","9.1","20.9","4.7","45.9","18.5","0.3","","","","","","","","1.9","79.0","","","16-41","","11.0","","","","","10YR 3/1","","","duro","friable","adhesivo","plástico","bloques subangulares","gruesos","moderado","Lentes de arena clara","A","Húmedo","7752","claro","suave","","1785","CFI 964","","85.0","Sedimentos Post - Yupoí, asentados sobre Formación Toropí -Yupoí ","modal","1971-05-14","La vegetación está alterada por el uso agrícola, con Setaria geniculata, Schizachyrium sp., Paspalum notatum y Cynodon dactylon. ","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En el Horizonte 2Btss3, Tuyaret, considera que es netamente arcilloso.
En el 5° Horizonte se notan dos colores de la maza que son 2,5Y 5/2 y 10YR 4/3. El color del clsk es 10YR 4/1.
En el los últimos Horizontes se notan dos colores de la masa que son 2,5Y 5/2 y 7,5YR 5,5/4.","true","","","INTA - A 500 mts. Noroeste de la Estación Experimental - sobre un ensayo de tabaco y maíz, a 100 mts. del camino vecinal del lado izquierdo.","2809-10","2960-12-1","2578","-28.444455","-58.992525","Región sedimentaria - Terraza   ","Altillanura ","At 25 ","húmedo","uniforme","ligera","hídrica","","","Rincón de Ambrosio","Rma","","Corrientes","","Paleudoles típicos, franco fina, ","","","","agricolo-ganadero","normal","moderadamente lenta","medio","1 - 3%","clase 3","clase 3","media loma alta","5.4","41","16","Abundantes","franco arenoso"
"","","18.0","23.3","4.7","4.7","4.4","4089.0","13.0","4.2","0.6","0.2","25.5","0.84","0.084","17.2","26.1","3.6","32.7","11.9","0.2","","","","","","","","6.0","77.0","","","41-60","","10.0","","","clsk, abundantes, medios, slck, abundantes, medios","","10YR 3/1,5","","Hierro manganeso, abundantes, medias ","extremadamente duro","firme","muy adhesivo","muy plástico","prismas compuestos irregulares","gruesos","fuerte","Chorreaduras, abundantes, gruesas de material oscuro 10YR 3/2, signos de gleyzación ","2Btss1","Húmedo","7753","claro","suave","","1785","CFI 964","","85.0","Sedimentos Post - Yupoí, asentados sobre Formación Toropí -Yupoí ","modal","1971-05-14","La vegetación está alterada por el uso agrícola, con Setaria geniculata, Schizachyrium sp., Paspalum notatum y Cynodon dactylon. ","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En el Horizonte 2Btss3, Tuyaret, considera que es netamente arcilloso.
En el 5° Horizonte se notan dos colores de la maza que son 2,5Y 5/2 y 10YR 4/3. El color del clsk es 10YR 4/1.
En el los últimos Horizontes se notan dos colores de la masa que son 2,5Y 5/2 y 7,5YR 5,5/4.","true","","","INTA - A 500 mts. Noroeste de la Estación Experimental - sobre un ensayo de tabaco y maíz, a 100 mts. del camino vecinal del lado izquierdo.","2809-10","2960-12-1","2578","-28.444455","-58.992525","Región sedimentaria - Terraza   ","Altillanura ","At 25 ","húmedo","uniforme","ligera","hídrica","","","Rincón de Ambrosio","Rma","","Corrientes","","Paleudoles típicos, franco fina, ","","","","agricolo-ganadero","normal","moderadamente lenta","medio","1 - 3%","clase 3","clase 3","media loma alta","4.7","60","41","Comunes","franco arcillo arenoso"
"","","20.4","23.6","5.0","5.2","4.8","3323.0","14.6","4.8","0.7","0.3","31.4","0.38","0.065","10.8","21.6","3.6","32.2","11.0","0.2","","","","","","","","4.0","86.0","","","60-100","","6.0","","","clsk, muy abundantes, gruesos, slck, escasos, medios","","7,5YR 5/2","","Hierro manganeso, abundantes, finas","extremadamente duro","firme","muy adhesivo","muy plástico","prismas compuestos irregulares","gruesos","fuerte","Chorreaduras, abundantes, gruesas de material oscuro 10YR 3/2, signos de gleyzación, gravillas","2Btss2","Húmedo","7754","gradual","suave","Abundantes, sobresalientes, gruesos, 2,5YR 4/6","1785","CFI 964","","85.0","Sedimentos Post - Yupoí, asentados sobre Formación Toropí -Yupoí ","modal","1971-05-14","La vegetación está alterada por el uso agrícola, con Setaria geniculata, Schizachyrium sp., Paspalum notatum y Cynodon dactylon. ","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En el Horizonte 2Btss3, Tuyaret, considera que es netamente arcilloso.
En el 5° Horizonte se notan dos colores de la maza que son 2,5Y 5/2 y 10YR 4/3. El color del clsk es 10YR 4/1.
En el los últimos Horizontes se notan dos colores de la masa que son 2,5Y 5/2 y 7,5YR 5,5/4.","true","","","INTA - A 500 mts. Noroeste de la Estación Experimental - sobre un ensayo de tabaco y maíz, a 100 mts. del camino vecinal del lado izquierdo.","2809-10","2960-12-1","2578","-28.444455","-58.992525","Región sedimentaria - Terraza   ","Altillanura ","At 25 ","húmedo","uniforme","ligera","hídrica","","","Rincón de Ambrosio","Rma","","Corrientes","","Paleudoles típicos, franco fina, ","","","","agricolo-ganadero","normal","moderadamente lenta","medio","1 - 3%","clase 3","clase 3","media loma alta","5.2","100","60","Comunes","franco arcillo arenoso"
"","","18.4","20.5","5.7","6.1","5.2","2724.0","12.8","4.6","0.7","0.3","30.3","0.19","0.039","13.6","23.5","3.5","30.2","12.2","0.3","","","","","","","","4.6","90.0","","","100-121","","5.0","","","clsk, abundantes, medios, slck, escasos, finos ","","10YR 5,5/4","","Hierro manganeso, escasas, finas","extremadamente duro","friable","muy adhesivo","muy plástico","prismas compuestos irregulares","gruesos","fuerte","Chorreaduras y vesículas de material oscuro, lentes de hierro manganeso","2Btss3","Húmedo","7755","gradual","suave","Abundantes, precisos, gruesos, 5YR 4/8 - Comunes, precisos, medios, 5YR 4/8","1785","CFI 964","","85.0","Sedimentos Post - Yupoí, asentados sobre Formación Toropí -Yupoí ","modal","1971-05-14","La vegetación está alterada por el uso agrícola, con Setaria geniculata, Schizachyrium sp., Paspalum notatum y Cynodon dactylon. ","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En el Horizonte 2Btss3, Tuyaret, considera que es netamente arcilloso.
En el 5° Horizonte se notan dos colores de la maza que son 2,5Y 5/2 y 10YR 4/3. El color del clsk es 10YR 4/1.
En el los últimos Horizontes se notan dos colores de la masa que son 2,5Y 5/2 y 7,5YR 5,5/4.","true","","","INTA - A 500 mts. Noroeste de la Estación Experimental - sobre un ensayo de tabaco y maíz, a 100 mts. del camino vecinal del lado izquierdo.","2809-10","2960-12-1","2578","-28.444455","-58.992525","Región sedimentaria - Terraza   ","Altillanura ","At 25 ","húmedo","uniforme","ligera","hídrica","","","Rincón de Ambrosio","Rma","","Corrientes","","Paleudoles típicos, franco fina, ","","","","agricolo-ganadero","normal","moderadamente lenta","medio","1 - 3%","clase 3","clase 3","media loma alta","6.1","121","100","No presentes","franco arcillo arenoso"
"","","19.3","20.5","5.8","6.1","5.3","3100.0","14.0","4.3","0.7","0.3","21.7","0.14","0.03","21.2","31.0","3.6","33.4","10.2","0.1","","","","","","","","1.9","94.0","","","121-142","","5.0","","","clsk, abundantes, medios","","2,5Y 5/2","","Hierro manganeso, escasas, finas","extremadamente duro","friable","muy adhesivo","muy plástico","bloques subangulares","gruesos","moderado","Chorreaduras, lentes de hierro manganeso, signos de gleyzación ","2Btg","Húmedo","7756","claro","suave","","1785","CFI 964","","85.0","Sedimentos Post - Yupoí, asentados sobre Formación Toropí -Yupoí ","modal","1971-05-14","La vegetación está alterada por el uso agrícola, con Setaria geniculata, Schizachyrium sp., Paspalum notatum y Cynodon dactylon. ","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En el Horizonte 2Btss3, Tuyaret, considera que es netamente arcilloso.
En el 5° Horizonte se notan dos colores de la maza que son 2,5Y 5/2 y 10YR 4/3. El color del clsk es 10YR 4/1.
En el los últimos Horizontes se notan dos colores de la masa que son 2,5Y 5/2 y 7,5YR 5,5/4.","true","","","INTA - A 500 mts. Noroeste de la Estación Experimental - sobre un ensayo de tabaco y maíz, a 100 mts. del camino vecinal del lado izquierdo.","2809-10","2960-12-1","2578","-28.444455","-58.992525","Región sedimentaria - Terraza   ","Altillanura ","At 25 ","húmedo","uniforme","ligera","hídrica","","","Rincón de Ambrosio","Rma","","Corrientes","","Paleudoles típicos, franco fina, ","","","","agricolo-ganadero","normal","moderadamente lenta","medio","1 - 3%","clase 3","clase 3","media loma alta","6.1","142","121","No presentes","franco"
"","","18.3","19.7","5.9","6.1","5.3","3010.0","13.1","4.3","0.7","0.4","20.0","0.15","0.03","17.4","25.7","3.4","37.9","12.9","0.1","","","","","","","","1.5","94.0","","","142 +","","5.0","","","clsk, abundantes, gruesos","","2,5Y 5/2","","Hierro manganeso, escasas, finas","extremadamente duro","friable","muy adhesivo","muy plástico","bloques subangulares","gruesos","moderado","Chorreaduras oscurasy vesículas, gravillas, lentes de hierro manganeso, canalículos","2Cg","Húmedo","7757","","","","1785","CFI 964","","85.0","Sedimentos Post - Yupoí, asentados sobre Formación Toropí -Yupoí ","modal","1971-05-14","La vegetación está alterada por el uso agrícola, con Setaria geniculata, Schizachyrium sp., Paspalum notatum y Cynodon dactylon. ","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En el Horizonte 2Btss3, Tuyaret, considera que es netamente arcilloso.
En el 5° Horizonte se notan dos colores de la maza que son 2,5Y 5/2 y 10YR 4/3. El color del clsk es 10YR 4/1.
En el los últimos Horizontes se notan dos colores de la masa que son 2,5Y 5/2 y 7,5YR 5,5/4.","true","","","INTA - A 500 mts. Noroeste de la Estación Experimental - sobre un ensayo de tabaco y maíz, a 100 mts. del camino vecinal del lado izquierdo.","2809-10","2960-12-1","2578","-28.444455","-58.992525","Región sedimentaria - Terraza   ","Altillanura ","At 25 ","húmedo","uniforme","ligera","hídrica","","","Rincón de Ambrosio","Rma","","Corrientes","","Paleudoles típicos, franco fina, ","","","","agricolo-ganadero","normal","moderadamente lenta","medio","1 - 3%","clase 3","clase 3","media loma alta","6.1","","142","No presentes","franco arenoso"
