"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","","","27.5","8.2","","","","23.9","5.4","2.4","0.1","60.0","1.74","0.07","","32.0","","","","","","8.0","","1.5","","","","","","","","0 - 8","","","","","","Ca","2-5YR 3/4","","","duro","firme","muy adhesivo","muy plástico","bloques subangulares","gruesos","fuerte","Moderada presencia de carbonato de calcio en la masa del suelo","A1","","14410","abrupto","suave","","3186","","","","","modal","1982-04-09","","Localización estimada","true","s w","V","","","","","-25.3641","-64.7616","","","","","","","","","","La Paz","","","Salta","","","","","","","normal","lenta","","0 - 1%","","clase 1","","8.2","8","0","","arcilloso"
"","","","24.7","8.1","","","","","","0.39","1.1","47.4","0.21","0.03","","48.7","","","","","","4.5","","4.3","","","","","","","","8 - 50","","","","","","Ca","2-5YR 3/4","","","duro","firme","adhesivo","plástico","bloques subangulares","medios","fuerte","Moderada presencia de carbonato de calcio en la masa del suelo","C1","","14411","abrupto","suave","","3186","","","","","modal","1982-04-09","","Localización estimada","true","s w","V","","","","","-25.3641","-64.7616","","","","","","","","","","La Paz","","","Salta","","","","","","","normal","lenta","","0 - 1%","","clase 1","","8.1","50","8","","arcilloso limoso"
"","","","1.8","7.6","","","","","","0.1","0.15","1.8","1.3","0.005","","4.3","","","","","","94.8","","1.3","","","","","","","","50 - 89","","","","","","","2-5YR 4/4","","","","","no adhesivo","no plástico","grano suelto","","","","IIC2","","14412","abrupto","suave","Fe","3186","","","","","modal","1982-04-09","","Localización estimada","true","s w","V","","","","","-25.3641","-64.7616","","","","","","","","","","La Paz","","","Salta","","","","","","","normal","lenta","","0 - 1%","","clase 1","","7.6","89","50","","arenoso"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89 - 140+","","","","","","","","","","","","","","","","","Presencia del nivel freático, textura arenosa con gracillas finas.","IIIC3","","14413","","","","3186","","","","","modal","1982-04-09","","Localización estimada","true","s w","V","","","","","-25.3641","-64.7616","","","","","","","","","","La Paz","","","Salta","","","","","","","normal","lenta","","0 - 1%","","clase 1","","","140","89","","arenoso"
