"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"1260","","22.4","23.5","6.4","6.7","6.1","4143.0","15.7","3.9","2.3","0.5","24.8","1.96","0.183","21.3","52.2","22.0","1.0","0.0","0.0","0.0","","","0.0","","","","6.6","95.0","","","0-15","","11.0","","","","","10YR 2/1","","","","","","","","","","","A11","","5160","","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","15","0","","franco"
"1261","","19.5","20.9","6.4","6.7","6.0","5404.0","13.1","3.9","2.0","0.5","27.9","1.19","0.113","14.2","49.5","21.8","0.8","0.0","0.0","0.0","","","0.0","","","","5.0","93.0","","","15-24","","11.0","","","","","10YR 2/2","","","","","","","","","","","A12","","5161","","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","24","15","","franco"
"1262","","13.7","14.5","6.2","6.9","5.9","5764.0","8.0","3.3","2.0","0.4","20.9","0.66","0.073","18.8","49.9","27.3","1.9","0.0","0.0","0.0","","","0.0","","","","3.9","94.0","","","24-33","","9.0","","","","","10YR 3/2","","","","","","","","","","","A2","","5165","","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","33","24","","franco"
"1263","","16.5","18.5","5.9","6.7","5.5","4323.0","8.6","4.3","3.1","0.5","27.3","0.5","0.063","17.9","46.4","25.2","1.1","0.0","0.0","0.0","","","0.0","","","","4.9","89.0","","","33-37","","8.0","","","","","10YR 3/4","","","","","","","","","","","B1","","5166","","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","37","33","","franco limoso"
"1264","","20.7","22.5","6.0","6.7","5.4","3963.0","10.9","5.5","3.9","0.4","33.3","0.49","0.057","14.5","44.5","21.5","0.7","0.0","0.0","0.0","","","0.0","","","","5.2","92.0","","","37-72","","8.0","","","","","7.5YR 3/4 (C)","7.5YR 4/4 (M)","","","","","","","","","","B21","","5167","abrupto","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","72","37","","franco arcilloso"
"1265","","22.7","23.0","6.1","6.7","5.2","4252.0","12.9","5.4","4.0","0.4","28.6","0.39","0.05","16.5","49.3","19.7","2.4","0.0","0.0","0.0","","","0.0","","","","5.1","99.0","","","72-100","","8.0","","","","","7.5YR 4/4 (M)","7.5YR 3/2 (C)","","","","","","","","","","B22","","5168","","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","100","72","","franco arcilloso"
"1266","","17.7","19.3","5.9","6.6","5.1","4622.0","9.9","4.6","2.6","0.6","20.7","0.26","0.034","16.6","47.9","27.8","3.6","0.0","0.0","0.0","","","0.0","","","","3.9","92.0","","","100-120","","8.0","","","","","7.5YR 4/4 (M)","","","","","","","","","","","B3","","5169","","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","120","100","","franco limoso"
"1267","","16.2","17.5","6.0","6.6","5.2","4437.0","9.2","4.2","2.1","0.7","15.2","0.19","0.03","20.3","44.9","37.2","2.7","0.0","0.0","0.0","","","0.0","","","","3.3","93.0","","","120-135","","6.0","","","","","7.5YR 4/4","","","","","","","","","","","B3ca","","5171","","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","135","120","","franco arcilloso"
"1268","","15.6","16.4","6.5","7.0","5.7","5176.0","8.3","4.8","2.1","0.4","12.0","0.11","0.026","22.0","47.2","28.8","2.0","0.0","0.0","0.0","","","0.0","","","","2.4","95.0","","","135-220","","4.0","","","","","7.5YR 4/4","","Ca +","","","","","","","","","C","","5172","","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","220","135","","areno franco"
"1269","","","16.3","8.2","8.8","7.7","3254.0","","","2.0","0.8","","0.11","","","","","","","","","","","2.6","","","","","","","","220 +","","","","","","","7.5YR 4/4","","Ca ++","","","","","","","","","Cca","","5173","","","","1281","3/262","","","","no modal","1966-05-24","Papa","Se trata de una Observación.

Perfil extraído de una excavación de tanque de nafta.

Nota: en la ficha original se encuentra bastante incompleta la descripción morfológica.","true","","","A 2 km al N del centro de Chivilcoy. Estación YPF fuera del mosaico","","3560-16-3","","-34.884458","-60.034622","","","","","","","","","","Chacabuco","Cha","","Buenos Aires","","Brunizem Planosol","","","","","","","","","","","","","250","220","",""
