"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"5810","25.5","14.6","18.7","5.1","5.4","4.9","1554.0","9.7","2.5","1.3","1.1","20.9","2.0","0.225","27.1","70.0","6.7","2.4","0.0","0.0","0.0","","","0.0","","","","5.1","78.0","","","0-10","","9.0","","","","","10YR 3/2","","","duro","","","","bloques subangulares","medios","moderado","","A1","fresco","5462","claro","suave","","1333","2/701 C","250.0","","Loess ?","no modal","1968-03-20","Campo arado","El perfil responde a un suelo alcalino (Solonetz solodizado) en un micro-relieve cóncavo de 15.
El A3 es muy irregular y heterogéneo, presenta abundantes canalículos oscuros revestidos por un barníz negro azabache de humatos sódicos.
El B2t es potente y lo dividimos en B21t, B22t, B23t.
Concreciones de CaCO3 hay del B21t para abajo, el B22t tiene abundantes seudomicelios de CaCO3 de lixiviación.","true","s w","","Ea. El Aparte (Güemes Hnos). A 11 km al NE de Las Heras.","041","3560-18-3","23","-34.852863","-58.867332","I","loma extendida","153","fresco","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","estancado","0 - 1%","clase 3","clase 1","loma","6.0","10","0","","franco limoso"
"5811","25.1","17.2","17.9","6.8","7.3","6.1","2656.0","10.0","3.1","1.1","3.0","21.8","1.28","0.146","27.9","68.6","8.1","1.5","0.0","0.0","0.0","","","0.0","","","","1.8","96.0","","","10-24","","9.0","","","","","10YR 2/2","","","muy duro","","","","bloques subangulares","","","","A3","seco","5463","abrupto","ondulado","","1333","2/701 C","250.0","","Loess ?","no modal","1968-03-20","Campo arado","El perfil responde a un suelo alcalino (Solonetz solodizado) en un micro-relieve cóncavo de 15.
El A3 es muy irregular y heterogéneo, presenta abundantes canalículos oscuros revestidos por un barníz negro azabache de humatos sódicos.
El B2t es potente y lo dividimos en B21t, B22t, B23t.
Concreciones de CaCO3 hay del B21t para abajo, el B22t tiene abundantes seudomicelios de CaCO3 de lixiviación.","true","s w","","Ea. El Aparte (Güemes Hnos). A 11 km al NE de Las Heras.","041","3560-18-3","23","-34.852863","-58.867332","I","loma extendida","153","fresco","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","estancado","0 - 1%","clase 3","clase 1","loma","6.0","24","10","","franco limoso"
"5812","69.0","","31.8","8.2","8.9","7.2","655.0","","","2.2","10.9","46.3","0.48","0.061","15.3","44.3","8.1","1.3","0.0","0.0","0.0","","","0.9","","","1.5","","","","","24-74","","8.0","","","Clsk +++ (10YR 2/2)","","7.5YR 3/2","","FeMn ++ Ca +","","","muy adhesivo","muy plástico","prismas","medios","moderado","","B21t","fresco","5464","claro","ondulado","++ medios, precisos","1333","2/701 C","250.0","","Loess ?","no modal","1968-03-20","Campo arado","El perfil responde a un suelo alcalino (Solonetz solodizado) en un micro-relieve cóncavo de 15.
El A3 es muy irregular y heterogéneo, presenta abundantes canalículos oscuros revestidos por un barníz negro azabache de humatos sódicos.
El B2t es potente y lo dividimos en B21t, B22t, B23t.
Concreciones de CaCO3 hay del B21t para abajo, el B22t tiene abundantes seudomicelios de CaCO3 de lixiviación.","true","s w","","Ea. El Aparte (Güemes Hnos). A 11 km al NE de Las Heras.","041","3560-18-3","23","-34.852863","-58.867332","I","loma extendida","153","fresco","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","estancado","0 - 1%","clase 3","clase 1","loma","9.2","74","24","","arcilloso"
"5813","37.5","","27.7","7.9","8.8","7.1","1004.0","","","2.2","7.4","30.5","0.26","0.041","24.4","59.0","8.8","1.7","0.0","0.0","0.0","","","1.7","","","","","","","","74-110","","6.0","","","Clsk ++ (7.5YR 3/2)","","7.5YR 4/2","","FeMn ++ Ca","","","","","prismas","medios","moderado","Micelios de CaCO3","B22t","fresco","5465","claro","ondulado","++ medios, precisos","1333","2/701 C","250.0","","Loess ?","no modal","1968-03-20","Campo arado","El perfil responde a un suelo alcalino (Solonetz solodizado) en un micro-relieve cóncavo de 15.
El A3 es muy irregular y heterogéneo, presenta abundantes canalículos oscuros revestidos por un barníz negro azabache de humatos sódicos.
El B2t es potente y lo dividimos en B21t, B22t, B23t.
Concreciones de CaCO3 hay del B21t para abajo, el B22t tiene abundantes seudomicelios de CaCO3 de lixiviación.","true","s w","","Ea. El Aparte (Güemes Hnos). A 11 km al NE de Las Heras.","041","3560-18-3","23","-34.852863","-58.867332","I","loma extendida","153","fresco","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","estancado","0 - 1%","clase 3","clase 1","loma","9.0","110","74","","franco arcillo limoso"
"5814","31.3","","25.6","7.8","8.6","7.0","1370.0","","","2.2","5.0","25.3","0.12","","25.3","61.9","11.4","1.4","0.0","0.0","0.0","","","0.6","","","","","","","","110-150","","","","","Clsk ++ (7.5YR 4/2)","","7.5YR 4/4","","Ca FeMn ++","","","","","prismas","medios","débil","","B23t","fresco","5466","gradual","suave","++ medios, precisos","1333","2/701 C","250.0","","Loess ?","no modal","1968-03-20","Campo arado","El perfil responde a un suelo alcalino (Solonetz solodizado) en un micro-relieve cóncavo de 15.
El A3 es muy irregular y heterogéneo, presenta abundantes canalículos oscuros revestidos por un barníz negro azabache de humatos sódicos.
El B2t es potente y lo dividimos en B21t, B22t, B23t.
Concreciones de CaCO3 hay del B21t para abajo, el B22t tiene abundantes seudomicelios de CaCO3 de lixiviación.","true","s w","","Ea. El Aparte (Güemes Hnos). A 11 km al NE de Las Heras.","041","3560-18-3","23","-34.852863","-58.867332","I","loma extendida","153","fresco","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","estancado","0 - 1%","clase 3","clase 1","loma","8.2","150","110","","franco arcillo limoso"
"5815","31.4","","26.6","7.9","8.5","6.9","1370.0","","","2.6","3.6","24.3","0.12","","27.3","64.3","10.2","1.2","0.0","0.0","0.0","","","0.5","","","","","","","","150 +","","","","","","","7.5YR 4/4","","FeMn ++ Ca +","","","","","bloques subangulares","gruesos","débil","Escaso fragipán","B3","fresco","5467","","","+++ gruesos, sobresalientes 5YR","1333","2/701 C","250.0","","Loess ?","no modal","1968-03-20","Campo arado","El perfil responde a un suelo alcalino (Solonetz solodizado) en un micro-relieve cóncavo de 15.
El A3 es muy irregular y heterogéneo, presenta abundantes canalículos oscuros revestidos por un barníz negro azabache de humatos sódicos.
El B2t es potente y lo dividimos en B21t, B22t, B23t.
Concreciones de CaCO3 hay del B21t para abajo, el B22t tiene abundantes seudomicelios de CaCO3 de lixiviación.","true","s w","","Ea. El Aparte (Güemes Hnos). A 11 km al NE de Las Heras.","041","3560-18-3","23","-34.852863","-58.867332","I","loma extendida","153","fresco","no uniforme","nula","","","grado 0","Tatay","Tt","","Buenos Aires","","Solonetz solodizado","","","clase 4","ganadero","cóncavo","muy lenta","estancado","0 - 1%","clase 3","clase 1","loma","8.0","165","150","","franco limoso"
