"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","26.2","21.72","28.4","","5.8","4.5","","18.0","1.6","1.57","0.55","25.5","2.62","0.262","24.0","26.2","0.4","2.44","21.1","0.7","0.01","","","0.0","","","","6.0","","76.0","","04-16","","10.0","","","escasos, finos","","10YR 3/1","10YR 4/1","","","friable","ligeramente adhesivo","ligeramente plástico","granular","medios","moderado","Arena gruesa","A1","F/H","3451","claro","suave","","861","ER2-66C","200.0","100.0","limos calcáreos lacustres","modal","1977-09-22","Monte nativo (algarrobo, espinillo, chilca, carqueja)","","true","e s","","Colonia oficial Nº 5 - Dpto. Concordia","165","3157-25-3","39","-31.334359","-58.299041","Peniplanicie","ondulada con gilgai","Pog","húmedo","uniforme","ligera","hídrica","pedregosidad","grado 0","Yeruá","Yr","","Entre Ríos","","Peluderte argiacuólico","","","clase 0","ganadero","normal","lenta","lento","1 - 3%","clase 5","clase 3","loma","","21","0","RR","franco limoso"
"","40.5","30.95","39.8","","6.5","5.1","","27.8","1.0","1.17","0.98","38.2","1.15","0.143","20.4","22.3","0.07","1.83","16.4","0.56","0.01","","","0.0","","","","5.5","","78.0","","28-43","","8.0","","","escasos, finos","","10YR 3/1","10YR 4/1","FeMn escasos","","friable","ligeramente adhesivo","plástico","prismas compuestos irregulares","medios","moderado","slickensides, comunes, finos, moderados. Arena","B21t","H","3452","gradual","suave","vestigios","861","ER2-66C","200.0","100.0","limos calcáreos lacustres","modal","1977-09-22","Monte nativo (algarrobo, espinillo, chilca, carqueja)","","true","e s","","Colonia oficial Nº 5 - Dpto. Concordia","165","3157-25-3","39","-31.334359","-58.299041","Peniplanicie","ondulada con gilgai","Pog","húmedo","uniforme","ligera","hídrica","pedregosidad","grado 0","Yeruá","Yr","","Entre Ríos","","Peluderte argiacuólico","","","clase 0","ganadero","normal","lenta","lento","1 - 3%","clase 5","clase 3","loma","","49","21","R","arcilloso limoso"
"","42.6","37.03","42.0","","7.2","6.2","","33.0","2.2","0.83","1.0","40.8","0.95","0.158","19.9","22.3","0.05","1.61","14.6","0.57","0.05","","","0.0","","","","1.5","","88.0","","50-65","","6.0","","","comunes","","10YR 3/1","","FeMn escasos","","friable","ligeramente adhesivo","plástico","prismas compuestos irregulares","medios","moderado","slickensides, comunes, finos. Arena","B22t","H","3453","gradual","suave","FeMn escasos, finos y precisos","861","ER2-66C","200.0","100.0","limos calcáreos lacustres","modal","1977-09-22","Monte nativo (algarrobo, espinillo, chilca, carqueja)","","true","e s","","Colonia oficial Nº 5 - Dpto. Concordia","165","3157-25-3","39","-31.334359","-58.299041","Peniplanicie","ondulada con gilgai","Pog","húmedo","uniforme","ligera","hídrica","pedregosidad","grado 0","Yeruá","Yr","","Entre Ríos","","Peluderte argiacuólico","","","clase 0","ganadero","normal","lenta","lento","1 - 3%","clase 5","clase 3","loma","","70","49","r","arcilloso limoso"
"","38.6","","","","8.2","7.1","","","","","","42.2","1.1","0.184","20.1","21.4","0.03","1.54","14.2","0.54","0.02","","","3.2","","","","","","","","75-85","","6.0","","","Clay humic skins escasos","xx","10YR 3/1","","CO3Ca y FeMn escasos","","friable","ligeramente adhesivo","plástico","bloques subangulares","medios","moderado","slickensides escasos. Chorreaduras de MO","B31ca","H","3454","claro","suave","FeMn escasos, finos y precisos","861","ER2-66C","200.0","100.0","limos calcáreos lacustres","modal","1977-09-22","Monte nativo (algarrobo, espinillo, chilca, carqueja)","","true","e s","","Colonia oficial Nº 5 - Dpto. Concordia","165","3157-25-3","39","-31.334359","-58.299041","Peniplanicie","ondulada con gilgai","Pog","húmedo","uniforme","ligera","hídrica","pedregosidad","grado 0","Yeruá","Yr","","Entre Ríos","","Peluderte argiacuólico","","","clase 0","ganadero","normal","lenta","lento","1 - 3%","clase 5","clase 3","loma","","95","70","v","franco arcillo limoso"
"","35.1","","","","8.4","7.6","","","","","","35.0","0.1","","24.3","25.1","0.01","1.55","13.6","0.66","0.08","","","4.5","","","","","","","","100-116","","","","","","xx","10YR 4/4","","CO3Ca comunes y de FeMn escasas","","friable","adhesivo","plástico","bloques angulares","medios","moderado","Clay humic skins inherentes al material. Chorreaduras de MO","B32ca","F","3455","","","FeMn escasos a comunes, precisos, y finos y medios","861","ER2-66C","200.0","100.0","limos calcáreos lacustres","modal","1977-09-22","Monte nativo (algarrobo, espinillo, chilca, carqueja)","","true","e s","","Colonia oficial Nº 5 - Dpto. Concordia","165","3157-25-3","39","-31.334359","-58.299041","Peniplanicie","ondulada con gilgai","Pog","húmedo","uniforme","ligera","hídrica","pedregosidad","grado 0","Yeruá","Yr","","Entre Ríos","","Peluderte argiacuólico","","","clase 0","ganadero","normal","lenta","lento","1 - 3%","clase 5","clase 3","loma","","115","95","","franco arcillo limoso"
