"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","2.9","1.1","1.5","5.2","5.9","4.3","69504.0","0.7","0.3","0.05","0.05","7.5","","","0.5","2.8","0.3","77.1","10.4","1.0","","","","","","","","1.2","73.0","","","45-65","","","","","","","10YR 6/6","10YR 7/6","","suelto","muy friable","","","grano suelto","","","","C1","S","6639","gradual","suave","","1588","316C","","30.0","arenas","modal","1976-03-22","Marcela; pasto puna, leguminosa","","true","","","1,5 km  al NO de la localidad de Ibicuy; Dpto. Islas del Ibicuy","25","3360","2","-33.733509","-59.173345","Médano","loma","","seco fresco","no uniforme","","","","","Estancia San Isidro","ESI","","Entre Ríos","","Udisamente  típico","","","","ganadero","normal","rápida","rápido","0 - 1%","clase 5","clase 5","loma","6.5","110","0","2","arenoso"
"","2.1","1.1","1.7","4.8","5.5","4.0","44888.0","0.5","0.5","0.05","0.05","7.7","","","1.7","2.2","0.3","74.4","14.6","0.8","","","","","","","","1.0","65.0","","","140-160","","","","","","","7.5YR 3/3","","","suelto","muy friable","","","grano suelto","","","","C2","F","6640","","","","1588","316C","","30.0","arenas","modal","1976-03-22","Marcela; pasto puna, leguminosa","","true","","","1,5 km  al NO de la localidad de Ibicuy; Dpto. Islas del Ibicuy","25","3360","2","-33.733509","-59.173345","Médano","loma","","seco fresco","no uniforme","","","","","Estancia San Isidro","ESI","","Entre Ríos","","Udisamente  típico","","","","ganadero","normal","rápida","rápido","0 - 1%","clase 5","clase 5","loma","6.5","175","110","v","arenoso"
