"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"46443","","5.5","19.32","","","","","3.1","0.8","0.5","1.1","82.87","","0.12","6.12","2.04","0.78","1.38","1.63","1.3","0.28","","","","","","","","28.4","","","0-20","","","","","","","","2.5YR 3/4","","blando","","","","bloques subangulares","medios","moderado","","A","","15420","claro","suave","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","20","0","3","arcilloso"
"46446","","5.0","17.64","","","","","3.1","0.8","0.3","0.8","85.93","","0.08","7.65","12.49","12.77","1.26","1.3","1.28","0.48","","","","","","","","28.3","","","20-230","","","","","+","","","10R 3/6","","blando","","","","prismas","gruesos","moderado","","Bt1","","15421","gradual","suave","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","230","20","2","arcilloso"
"46449","","5.9","16.67","","","","","3.0","0.8","0.3","1.8","91.03","","0.04","7.9","10.2","10.7","1.4","1.27","1.48","0.36","","","","","","","","35.4","","","230-410","","","","","+","","","10R 3/6","","blando","","","","prismas","medios","moderado","","Bt2","","15422","gradual","suave","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","410","230","2","arcilloso"
"46450","","6.4","14.32","","","","","2.5","0.8","0.3","2.8","74.2","","0.04","8.16","19.12","19.43","1.52","1.73","1.33","0.76","","","","","","","","44.7","","","410-450","","","","","","","","10R 3/6","","blando","","","","bloques subangulares","medios","moderado","","Bt3","","15423","gradual","suave","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","450","410","","arcilloso"
"46451","","","13.48","","","","","2.5","0.7","0.3","1.0","78.79","","0.032","12.49","11.47","1.02","1.43","1.33","1.27","0.23","","","","","","","","","","","450-500","","","","","","","","10R 4/6","","blando","","","","bloques angulares","medios","moderado","Nódulos goethíticos comunes","Bt4","","15424","abrupto","suave","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","500","450","","arcilloso"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10R 4/6","","","","","","","","","Horizonte nodular, con predominancia de nódulos goethíticos","H.N.F.","","15425","","","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","520","500","",""
"46454","","","17.68","","","","","2.3","0.6","0.3","0.8","68.59","","0.028","18.87","22.95","1.57","3.45","1.76","1.07","0.46","","","","","","","","","","","520-570","","","","","","","","10R 4/6","","blando","","","","bloques subangulares","medios","moderado","Nódulos hematíticos y goethíticos comunes","Bw1","","15426","gradual","suave","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","570","520","","arcilloso"
"46456","","","","","","","","","","","","66.81","","0.013","23.46","22.69","2.3","2.5","1.58","0.79","0.56","","","","","","","","","","","570-680","","","","","","","","10R 4/6","","blando","","","","bloques subangulares","medios","moderado","Nódulos hematíticos escasos","BC","","15427","abrupto","suave","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","680","570","","arcilloso"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bloques subangulares","finos","débil","Horizonte relíctico de sílice con desaroollo de estructura en el saprolito subyacente","H.R.S.","","15428","","","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","700","680","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bloques subangulares","finos","débil","Horizonte relíctico de sílice con desaroollo de estructura en el saprolito subyacente","H.R.S.","","15429","","","","3404","M5","","","","no modal","2007-07-31","","","true","","","Oberá","","","","-27.387778","-55.063611","Meseta central preservada","Planicie ondulada","","","","","","","","Perfil M5","","","Misiones","","","","","","","","","","","","","loma","","720","700","",""
