"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","","13.2","18.8","5.9","5.9","4.7","4743.0","10.8","0.6","1.1","0.7","37.1","2.37","0.187","44.1","61.1","1.4","0.4","0.0","0.0","0.0","1.8","","0.0","","","","5.3","70.0","","","0-15","","13.0","","","","","10YR 4/2","10YR 6/2","Hierro manganeso, escasas y menores de 1mm.","duro","friable","no adhesivo","ligeramente plástico","agregados laminares o platiformes","","","","E1","","13863","claro","suave","Abundantes, finos, precisos.","3062","3062","","","","no modal","1975-01-01","","Fecha muy imprecisa","true","","","","","","","-30.455278","-61.924444","","","","","","","","","","Sarita","SRT","","Santa Fe",""," Albacualf típico, arcillosa muy fina","","","","","","","","","","clase 0","","","15","0","Comunes","franco arcillo limoso"
"","","11.4","15.0","6.5","6.5","5.0","5807.0","9.6","0.2","0.8","0.8","35.0","0.83","0.065","46.1","61.8","1.4","1.8","0.0","0.0","0.0","3.2","","0.0","","","","3.5","76.0","","","15-28","","13.0","","","","","10YR 5/1","10YR 7/1","Hierro manganeso, abundantes, de 7-8mm. de diámetro.","ligeramente duro","friable","no adhesivo","ligeramente plástico","masiva","","","Horizonte muy poroso.","E2","","13864","abrupto","ondulado","Abundantes, finos, sobresalientes.","3062","3062","","","","no modal","1975-01-01","","Fecha muy imprecisa","true","","","","","","","-30.455278","-61.924444","","","","","","","","","","Sarita","SRT","","Santa Fe",""," Albacualf típico, arcillosa muy fina","","","","","","","","","","clase 0","","","28","15","Comunes","franco arcillo limoso"
"","","29.8","31.6","6.7","7.3","5.5","1256.0","21.1","5.7","1.7","1.3","68.8","0.58","0.068","24.3","30.4","0.4","0.4","0.0","0.0","0.0","0.8","","0.0","","","","1.8","94.0","","","28-76","","9.0","","","clsk abundantes; clhm abundantes; negros 10YR 2/1 en seco.","","10YR 3/1","10YR 4/1","Hierro manganeso, abundantes.","muy duro","firme","muy adhesivo","plástico","prismas","medios","fuerte","Los 5cm. superiores muy lavados. En la parte superior superficies de deslizamiento incipientes.","Bt1","","13865","gradual","","Comunes, finos, precisos.","3062","3062","","","","no modal","1975-01-01","","Fecha muy imprecisa","true","","","","","","","-30.455278","-61.924444","","","","","","","","","","Sarita","SRT","","Santa Fe",""," Albacualf típico, arcillosa muy fina","","","","","","","","","","clase 0","","","76","28","Escasas","arcilloso"
"","","29.5","30.0","7.5","7.8","5.8","1355.0","20.1","5.8","1.9","1.7","51.5","0.23","0.041","39.2","47.0","0.7","0.8","0.0","0.0","0.0","1.5","","0.0","","","","0.9","98.0","","","76-122","","6.0","","","clsk abundantes. clhm abundantes.","","2.5Y 4/2","2.5Y 5/2","","ligeramente duro","firme","adhesivo","plástico","prismas","medios","moderado","","Bt2","","13866","gradual","","Comunes, finos, precisos.","3062","3062","","","","no modal","1975-01-01","","Fecha muy imprecisa","true","","","","","","","-30.455278","-61.924444","","","","","","","","","","Sarita","SRT","","Santa Fe",""," Albacualf típico, arcillosa muy fina","","","","","","","","","","clase 0","","","122","76","","arcilloso limoso"
"","","26.6","27.4","7.7","7.9","5.8","1306.0","17.1","5.8","1.9","1.8","48.9","0.13","0.033","39.7","48.7","1.0","1.4","0.0","0.0","0.0","2.4","","0.0","","","","0.9","97.0","","","122-135","","4.0","","","","","2.5Y 5/2","2.5Y 7/2","Hierro manganeso, escasas y de 1mm.","ligeramente duro","firme","adhesivo","plástico","bloques angulares","finos","moderado","Material del A2 incorporado por actividad biológica en galerías. Durinódulos en la parte inferior. A los 135cm se interrumpió la extracción debido a estrato de durinódulos infranqueable con barreno hidráulico.","BC","","13867","","","Comunes, finos, sobresalientes.","3062","3062","","","","no modal","1975-01-01","","Fecha muy imprecisa","true","","","","","","","-30.455278","-61.924444","","","","","","","","","","Sarita","SRT","","Santa Fe",""," Albacualf típico, arcillosa muy fina","","","","","","","","","","clase 0","","","135","122","","arcilloso limoso"
