"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","","","15.0","6.8","","","","12.5","0.92","0.83","0.77","6.6","2.8","0.24","","8.1","","","","","","82.5","","0.0","","","","","","","","0 - 16","","","","","","","5YR 3/4","5YR 5/4","","blando","muy friable","no adhesivo","no plástico","bloques subangulares","finos","débil","","A1","","14422","abrupto","suave","","3189","3189","","","","modal","1982-05-14","","Localización estimada","true","e s","III","","","","","-25.3433","-64.6745","","","","","","moderada","hídrica","","","Pirgua","","","Salta","","","","","","","normal","rápida","","1 - 3%","","clase 5","","6.8","16","0","","areno franco"
"","","","9.26","7.2","","","","","","0.44","0.43","4.2","0.51","0.05","","21.8","","","","","","74.0","","1.09","","","","","","","","	16 - 52","","","","","","Ca","5YR 4/4","5YR 5/6","","blando","muy friable","no adhesivo","no plástico","bloques subangulares","finos","","","AC","","14423","abrupto","suave","","3189","3189","","","","modal","1982-05-14","","Localización estimada","true","e s","III","","","","","-25.3433","-64.6745","","","","","","moderada","hídrica","","","Pirgua","","","Salta","","","","","","","normal","rápida","","1 - 3%","","clase 5","","7.2","52","16","","areno franco"
"","","","8.7","7.9","","","","6.3","0.8","0.6","0.4","1.7","0.47","0.03","","14.0","","","","","","84.3","","1.7","","","","","","","","	52 - 145","","","","","","","5YR 5/4","5YR 4/6","","suelto","suelto","no adhesivo","no plástico","masiva","","","","C1","","14424","","","","3189","3189","","","","modal","1982-05-14","","Localización estimada","true","e s","III","","","","","-25.3433","-64.6745","","","","","","moderada","hídrica","","","Pirgua","","","Salta","","","","","","","normal","rápida","","1 - 3%","","clase 5","","7.9","145","52","","areno franco"
"","","","7.3","7.3","","","","2.2","0.36","0.27","0.1","4.1","0.48","0.02","","5.6","","","","","","89.0","","2.2","","","","","","","","	145 - 170+","","","","","","","5YR 4/6","5YR 6/6","","suelto","suelto","no adhesivo","no plástico","masiva","","","","C2","","14425","","","","3189","3189","","","","modal","1982-05-14","","Localización estimada","true","e s","III","","","","","-25.3433","-64.6745","","","","","","moderada","hídrica","","","Pirgua","","","Salta","","","","","","","normal","rápida","","1 - 3%","","clase 5","","7.3","170","145","","arenoso"
