"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"863","","18.2","23.4","5.0","5.7","5.1","1643.0","14.5","1.7","1.8","0.2","23.0","1.91","0.2","24.5","67.4","9.5","0.1","0.0","0.0","0.0","","","","","","","9.0","77.0","","","0 - 10","","10.0","","","","","10YR 3/2","10YR 4/2","","suelto","muy friable","","","granular","finos","moderado","","Ap","","1289","abrupto","suave","","530","9/281 C","190.0","","Loess","no modal","1965-11-17","Cultivo de girasol","Raíces escasas.
Cota aproximada 47 m.","true","","","6,5 km. al N.E. de Capitán Sarmiento","368","3560-4-1","40","-34.12193","-59.758929","Pampa ondulada","","","húmedo","uniforme","ligera","hídrica","","grado 0","Villa Lía","VLi","Serie en revisión","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","loma","5.2","10","0","3","franco"
"864","","20.5","22.5","5.0","5.7","5.1","1728.0","15.0","3.7","1.4","0.4","23.9","1.87","0.184","26.0","65.9","10.1","0.1","0.0","0.0","0.0","","","","","","","9.0","91.0","","","10 - 18","","10.0","","","","","10YR 3/1","","","suelto","muy friable","","","bloques subangulares","finos","moderado","","A12","","1290","abrupto","suave","","530","9/281 C","190.0","","Loess","no modal","1965-11-17","Cultivo de girasol","Raíces escasas.
Cota aproximada 47 m.","true","","","6,5 km. al N.E. de Capitán Sarmiento","368","3560-4-1","40","-34.12193","-59.758929","Pampa ondulada","","","húmedo","uniforme","ligera","hídrica","","grado 0","Villa Lía","VLi","Serie en revisión","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","loma","","18","10","3","franco"
"865","","22.2","22.8","5.6","6.2","5.3","2954.0","17.0","3.7","1.1","0.4","25.7","1.42","0.152","25.2","63.5","10.7","0.1","0.0","0.0","0.0","","","","","","","8.1","97.0","","","18 - 32","","9.0","","","","","10YR 2/1","","","suelto","muy friable","","","bloques subangulares","finos","moderado","","A3","","1291","abrupto","ondulado","","530","9/281 C","190.0","","Loess","no modal","1965-11-17","Cultivo de girasol","Raíces escasas.
Cota aproximada 47 m.","true","","","6,5 km. al N.E. de Capitán Sarmiento","368","3560-4-1","40","-34.12193","-59.758929","Pampa ondulada","","","húmedo","uniforme","ligera","hídrica","","grado 0","Villa Lía","VLi","Serie en revisión","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","loma","","32","18","3","franco"
"866","","30.2","33.4","5.8","6.6","5.2","1789.0","23.8","4.7","1.3","0.4","46.4","0.8","0.093","20.0","47.0","6.4","0.2","0.0","0.0","0.0","","","","","","","8.5","90.0","","","32 - 63","","9.0","","","+","","7.5YR 3/2","","","","muy friable","adhesivo","plástico","prismas","medios","moderado","","B21","","1292","gradual","suave","+","530","9/281 C","190.0","","Loess","no modal","1965-11-17","Cultivo de girasol","Raíces escasas.
Cota aproximada 47 m.","true","","","6,5 km. al N.E. de Capitán Sarmiento","368","3560-4-1","40","-34.12193","-59.758929","Pampa ondulada","","","húmedo","uniforme","ligera","hídrica","","grado 0","Villa Lía","VLi","Serie en revisión","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","loma","","63","32","1","arcilloso"
"867","","27.6","30.3","6.0","6.9","5.2","1997.0","21.9","3.9","1.2","0.6","37.5","0.46","0.059","25.5","53.6","8.9","0.0","0.0","0.0","0.0","","","","","","","8.0","91.0","","","63 - 88","","8.0","","","+++","","7.5YR 3/2","","","","muy friable","adhesivo","plástico","prismas","","débil","","B22","","1293","gradual","suave","++","530","9/281 C","190.0","","Loess","no modal","1965-11-17","Cultivo de girasol","Raíces escasas.
Cota aproximada 47 m.","true","","","6,5 km. al N.E. de Capitán Sarmiento","368","3560-4-1","40","-34.12193","-59.758929","Pampa ondulada","","","húmedo","uniforme","ligera","hídrica","","grado 0","Villa Lía","VLi","Serie en revisión","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","loma","","88","63","","arcilloso"
"868","","25.4","26.4","6.2","7.3","5.4","2268.0","19.1","4.7","1.0","0.6","23.0","0.25","0.047","28.0","63.4","13.0","0.6","0.0","0.0","0.0","","","","","","","6.5","96.0","","","88 - 140","","5.0","","","++","","7.5YR 4/4","","","","muy friable","","","bloques subangulares","medios","","","B31","","1294","gradual","ondulado","+","530","9/281 C","190.0","","Loess","no modal","1965-11-17","Cultivo de girasol","Raíces escasas.
Cota aproximada 47 m.","true","","","6,5 km. al N.E. de Capitán Sarmiento","368","3560-4-1","40","-34.12193","-59.758929","Pampa ondulada","","","húmedo","uniforme","ligera","hídrica","","grado 0","Villa Lía","VLi","Serie en revisión","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","loma","","140","88","","franco arcilloso"
"869","","","26.6","7.9","8.5","7.4","2135.0","","","","","","0.21","0.038","","","","","","","","","","8.1","","","","","","","","140 - 200","","5.0","","","","+++","7.5YR 4/4","","+++","","muy friable","","","","","","","Cca","","1295","","","+","530","9/281 C","190.0","","Loess","no modal","1965-11-17","Cultivo de girasol","Raíces escasas.
Cota aproximada 47 m.","true","","","6,5 km. al N.E. de Capitán Sarmiento","368","3560-4-1","40","-34.12193","-59.758929","Pampa ondulada","","","húmedo","uniforme","ligera","hídrica","","grado 0","Villa Lía","VLi","Serie en revisión","Buenos Aires","","Brunizem","","","clase 0","agrícola","normal","moderada","medio","0 - 1%","clase 5","","loma","7.2","200","140","","franco limoso"
