"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","26.9","13.2","17.4","","5.3","5.0","","7.6","2.7","2.5","0.4","23.7","","","","70.4","4.8","1.1","0.0","0.0","0.0","5.9","","0.0","","","","3.9","76.0","","","0-14","","10.0","","","","","10YR 3/2","","","","friable","no adhesivo","no plástico","bloques subangulares","medios","moderado","","A","","14738","abrupto","suave","Escasos, finos, débiles.","3260","3260","","","","modal","0001-01-01","","","true","","","","","","","-32.1","-62.016667","","","","","","","","","","Colonia Moreno","CMo","","Santa Fe","","Natralbol típico, limo/arcillosa fina","","","","","","","","","","clase 2","","","14","0","","franco limoso"
"","27.1","13.7","16.8","","5.8","5.3","","7.9","2.6","2.8","0.4","20.2","1.69","0.154","","74.4","5.6","0.5","0.0","0.0","0.0","6.1","","0.0","","","","2.8","82.0","","","14-22","","11.0","","","","","10YR 4/2","","","","friable","no adhesivo","no plástico","masiva","","","","E","","14739","abrupto","ondulado","Escasos moteados finos, débiles.","3260","3260","","","","modal","0001-01-01","","","true","","","","","","","-32.1","-62.016667","","","","","","","","","","Colonia Moreno","CMo","","Santa Fe","","Natralbol típico, limo/arcillosa fina","","","","","","","","","","clase 2","","","22","14","","franco limoso"
"","34.3","","24.8","","7.7","6.8","","","","2.7","2.3","33.2","0.76","0.085","","63.3","3.5","0.8","0.0","0.0","0.0","4.3","","0.0","","","1.7","","","","","22-46","","9.0","","","Abundantes, de color 10 YR 2/1.","","7.5YR 3/2","","","","firme","adhesivo","plástico","columnar","gruesos","fuerte","","Bt1","","14740","claro","suave","Comunes, finos, precisos.","3260","3260","","","","modal","0001-01-01","","","true","","","","","","","-32.1","-62.016667","","","","","","","","","","Colonia Moreno","CMo","","Santa Fe","","Natralbol típico, limo/arcillosa fina","","","","","","","","","","clase 2","","","46","22","","franco arcillo limoso"
"","32.7","","24.8","","8.9","7.3","","","","2.1","4.0","28.5","0.26","0.058","","66.6","5.0","0.5","0.0","0.0","0.0","5.5","","0.0","","","8.5","","","","","46-70","","4.0","","","Barnices comunes.","","7.5YR 3/2","","","","friable","adhesivo","plástico","prismas","medios","moderado","","Bt2","","14741","claro","suave","Escasos, finos, débiles.","3260","3260","","","","modal","0001-01-01","","","true","","","","","","","-32.1","-62.016667","","","","","","","","","","Colonia Moreno","CMo","","Santa Fe","","Natralbol típico, limo/arcillosa fina","","","","","","","","","","clase 2","","","70","46","","franco arcillo limoso"
"","31.8","","24.0","","9.1","8.2","","","","4.0","11.0","18.4","0.16","0.04","","72.5","7.2","2.1","0.2","0.1","0.0","9.6","","0.0","","","21.3","","","","","70-97","","4.0","","","Barnices escasos.","","7.5YR 5/4","","","","","no adhesivo","no plástico","bloques subangulares","medios","moderado","Núcleos y bochas cementadas.","BC","","14742","abrupto","suave","Escasos moteados finos, débiles.","3260","3260","","","","modal","0001-01-01","","","true","","","","","","","-32.1","-62.016667","","","","","","","","","","Colonia Moreno","CMo","","Santa Fe","","Natralbol típico, limo/arcillosa fina","","","","","","","","","","clase 2","","","97","70","","franco limoso"
"","26.1","","22.5","","9.4","8.1","","","","3.7","11.4","12.2","0.12","0.03","","74.5","9.1","2.2","0.3","0.4","0.0","12.0","","4.3","","","24.7","","","","","97 +","","4.0","","","","Abundantes carbonatos libres en la masa.","7.5YR 5/4","","","","muy friable","no adhesivo","no plástico","masiva","","","Cristales finos de yeso y pseudomicelios salinos comunes. Durinódulos finos, comunes.","Ck","","14743","","","","3260","3260","","","","modal","0001-01-01","","","true","","","","","","","-32.1","-62.016667","","","","","","","","","","Colonia Moreno","CMo","","Santa Fe","","Natralbol típico, limo/arcillosa fina","","","","","","","","","","clase 2","","","","97","","franco limoso"
