"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","23.72","12.99","10.02","","5.8","4.0","3707.0","10.19","2.31","0.34","0.15","11.99","1.84","0.167","","58.8","12.22","15.14","1.36","0.52","0.52","","","","","","","","100.0","","1.15","0-38","","11.0","","","","","10YR 3/2","10YR3/3","","duro","firme","ligeramente adhesivo","ligeramente plástico","bloques subangulares","medios","débil","","A","F","16551","gradual","","","3646","TU C-11","","","arenas sobre loess","modal","1997-06-15","gramíneas","","true","s w","III","a 4,5 km de Soldado Maldonado y a 4 km de la ruta provincial Nº 324. A 300 m de río Mandolo. Finca de Luis Alberto Salvador","","","","-27.152139","-65.606306","colinado","","","fresco","uniforme","moderada","hídrica","","","Soldado Maldonado","","","Tucumán","","Hapludol thapto árgico, fino, illítico, térmico","","","clase 0","frutícola","","moderada","rápido","3 - 10%","","clase 3","","5.8","38","0","3","franco limoso"
"","17.43","7.44","10.6","","5.9","4.9","7413.0","5.78","1.26","0.26","0.14","7.42","0.44","0.039","","61.4","10.29","17.96","1.92","0.5","0.61","","","","","","","","70.0","","1.16","38-50","","11.0","","","","","10YR 3/3","10YR 4/3","","duro","firme","ligeramente adhesivo","ligeramente plástico","bloques angulares","finos","débil","","ACn","F","16552","gradual","","","3646","TU C-11","","","arenas sobre loess","modal","1997-06-15","gramíneas","","true","s w","III","a 4,5 km de Soldado Maldonado y a 4 km de la ruta provincial Nº 324. A 300 m de río Mandolo. Finca de Luis Alberto Salvador","","","","-27.152139","-65.606306","colinado","","","fresco","uniforme","moderada","hídrica","","","Soldado Maldonado","","","Tucumán","","Hapludol thapto árgico, fino, illítico, térmico","","","clase 0","frutícola","","moderada","rápido","3 - 10%","","clase 3","","5.9","50","38","1","franco limoso"
"","29.76","16.91","26.63","","5.3","3.7","847.0","10.92","4.41","1.25","0.33","41.8","0.34","","","49.2","4.38","3.31","0.75","0.43","0.32","","","","","","","","63.0","","1.45","50-71","","","","","Clsk ++; Hmsk +++","","7.5YR 3/2","7.5YR 4/4","FeMn +","extremadamente duro","muy firme","muy adhesivo","muy plástico","columnar","gruesos","","Moderada cantidad de pistas oblícuas de arcillas (slickensides)","2Btbn1","F","16554","gradual","","CPM","3646","TU C-11","","","arenas sobre loess","modal","1997-06-15","gramíneas","","true","s w","III","a 4,5 km de Soldado Maldonado y a 4 km de la ruta provincial Nº 324. A 300 m de río Mandolo. Finca de Luis Alberto Salvador","","","","-27.152139","-65.606306","colinado","","","fresco","uniforme","moderada","hídrica","","","Soldado Maldonado","","","Tucumán","","Hapludol thapto árgico, fino, illítico, térmico","","","clase 0","frutícola","","moderada","rápido","3 - 10%","","clase 3","","5.3","71","50","","arcilloso limoso"
"","32.72","20.97","28.86","","5.2","3.9","530.0","13.02","5.78","1.77","0.4","46.12","0.3","","","47.1","3.69","2.32","0.32","0.21","0.32","","","","","","","","72.0","","1.31","71-95","","","","","Clsk ++; Hmsk +++","","7.5YR 3/4","7.5YR 4/3","FeMn +","extremadamente duro","muy firme","muy adhesivo","muy plástico","columnar","gruesos","","Moderada cantidad de pistas oblícuas de arcillas (slickensides)","2Btbn2","F","16555","gradual","","EPM","3646","TU C-11","","","arenas sobre loess","modal","1997-06-15","gramíneas","","true","s w","III","a 4,5 km de Soldado Maldonado y a 4 km de la ruta provincial Nº 324. A 300 m de río Mandolo. Finca de Luis Alberto Salvador","","","","-27.152139","-65.606306","colinado","","","fresco","uniforme","moderada","hídrica","","","Soldado Maldonado","","","Tucumán","","Hapludol thapto árgico, fino, illítico, térmico","","","clase 0","frutícola","","moderada","rápido","3 - 10%","","clase 3","","5.2","95","71","","arcilloso limoso"
"","29.02","15.05","19.84","","5.5","4.1","1059.0","9.45","3.89","1.38","0.33","28.38","0.18","","","53.7","5.42","4.68","1.17","0.43","0.32","","","","","","","","75.0","","1.13","95-130","","","","","Hmsk +","","7.5YR 4/4","7.5YR 5/5","FeMn +","duro","firme","adhesivo","plástico","bloques subangulares","gruesos","fuerte","","2Btbn3","F","16556","","","CPM","3646","TU C-11","","","arenas sobre loess","modal","1997-06-15","gramíneas","","true","s w","III","a 4,5 km de Soldado Maldonado y a 4 km de la ruta provincial Nº 324. A 300 m de río Mandolo. Finca de Luis Alberto Salvador","","","","-27.152139","-65.606306","colinado","","","fresco","uniforme","moderada","hídrica","","","Soldado Maldonado","","","Tucumán","","Hapludol thapto árgico, fino, illítico, térmico","","","clase 0","frutícola","","moderada","rápido","3 - 10%","","clase 3","","5.5","130","95","","franco limoso"
