"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","20.0","6.79","8.9","","4.9","","510.0","4.2","1.7","0.39","0.5","15.3","1.54","0.153","","32.9","9.2","38.4","4.0","0.2","","","","","","","2.0","6.7","76.0","","","0-10","","10.1","","","","","10YR 5/3","10YR 6/3 ","","muy duro","firme","ligeramente adhesivo","ligeramente plástico","bloques angulares","gruesos","fuerte","Raíces muertas ","E","Fresco","7832","abrupto","ondulado","Comunes, débiles, finos ","1800","CFI 77","","30.0","Formación Toropí-Yupoí, areno-arcilloso, limo-arenoso y arcillo-arenoso y arenas pelíticas. ","modal","1973-10-04","La vegetación está compuesta en los géneros Proso-pis (Ñandubay y algarrobo), Aspidosperma quebracho blanco, Celtis tala, y vegetación herbácea rala.","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En la superficie del primer horizonte se observa una delgada capa de raíces, entremezcladas con el suelo.
En el segundo horizonte se observa en la masa formaciones como si fuesen vesículas de arcilla, lo cual confunde el color de la masa.

Familia: Franco-fina","true","","","Al margen izquiedo a 1000 mts. de la Estancia La Colorada y en el campo de la misma. Departamento de Esquina.","3005-A","3160-5-3","7062","-30.213825","-59.259675","","","","fresco húmedo","no uniforme","ligera","hídrica","","","Colonia","Cl","","Corrientes","","Natracualfes típicos, franco fina, mixta ","","","","ganadero","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","4.9","10","0","Abundantes","franco arenoso"
"","24.9","12.36","15.2","","7.5","","300.0","8.0","1.9","0.16","3.2","25.6","0.81","0.098","","31.2","7.8","31.7","3.4","0.3","","","","","","","3.3","2.8","81.0","","","10-25","","8.3","","","clsk, escasos, finos ","","10YR 4/2","10YR 5/2 ","Hierro manganeso, abundantes, medias","extremadamente duro","firme","adhesivo","plástico","semicolumnar","gruesos","fuerte","Lentes de hierro manganeso, muy abundantes, lentes de calcio, abundantes, chorreaduras de arena clara","Bt","Fresco","7833","claro","suave","Abundantes, precisos, medios, 10YR 5/6","1800","CFI 77","","30.0","Formación Toropí-Yupoí, areno-arcilloso, limo-arenoso y arcillo-arenoso y arenas pelíticas. ","modal","1973-10-04","La vegetación está compuesta en los géneros Proso-pis (Ñandubay y algarrobo), Aspidosperma quebracho blanco, Celtis tala, y vegetación herbácea rala.","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En la superficie del primer horizonte se observa una delgada capa de raíces, entremezcladas con el suelo.
En el segundo horizonte se observa en la masa formaciones como si fuesen vesículas de arcilla, lo cual confunde el color de la masa.

Familia: Franco-fina","true","","","Al margen izquiedo a 1000 mts. de la Estancia La Colorada y en el campo de la misma. Departamento de Esquina.","3005-A","3160-5-3","7062","-30.213825","-59.259675","","","","fresco húmedo","no uniforme","ligera","hídrica","","","Colonia","Cl","","Corrientes","","Natracualfes típicos, franco fina, mixta ","","","","ganadero","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","7.5","25","10","Comunes","franco"
"","32.4","","16.1","","9.0","","130.0","","","0.29","6.0","19.1","0.35","0.043","","35.9","7.6","33.0","4.1","0.3","","","","","","","7.7","","","","","25-43","","8.1","","","clsk, abundantes, finos ","","10YR 4/3","10YR 5/4","Hierro manganeso, muy abundantes, medias, carbonato de calcio, abundantes, finas","muy duro","firme","adhesivo","plástico","prismas compuestos irregulares","gruesos","fuerte","Lentes de hierro manganeso, muy abundantes, lentes de calcio, muy abundantes","Btn1","Húmedo","7834","gradual","suave","Abundantes, precisos, medios, 10YR 5/8","1800","CFI 77","","30.0","Formación Toropí-Yupoí, areno-arcilloso, limo-arenoso y arcillo-arenoso y arenas pelíticas. ","modal","1973-10-04","La vegetación está compuesta en los géneros Proso-pis (Ñandubay y algarrobo), Aspidosperma quebracho blanco, Celtis tala, y vegetación herbácea rala.","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En la superficie del primer horizonte se observa una delgada capa de raíces, entremezcladas con el suelo.
En el segundo horizonte se observa en la masa formaciones como si fuesen vesículas de arcilla, lo cual confunde el color de la masa.

Familia: Franco-fina","true","","","Al margen izquiedo a 1000 mts. de la Estancia La Colorada y en el campo de la misma. Departamento de Esquina.","3005-A","3160-5-3","7062","-30.213825","-59.259675","","","","fresco húmedo","no uniforme","ligera","hídrica","","","Colonia","Cl","","Corrientes","","Natracualfes típicos, franco fina, mixta ","","","","ganadero","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","9.0","43","25","Escasas ","franco"
"","","","21.6","","8.6","","74.0","","","0.56","8.7","31.9","0.22","0.035","","30.1","7.1","27.0","3.5","0.4","","","","","","","13.6","","","","","43-84","","6.4","","","clsk, escasos, finos","","10YR 4,5/2","10YR 5/4","Hierro manganeso, abundantes, medias, carbonato de calcio, abundantes, finas ","duro","friable","adhesivo","plástico","bloques angulares","medios","moderado","Lentes de hierro manganeso, muy abundantes, lentes de calcio, muy abundantes, chorreaduras, finas ","Btn2","Húmedo","7835","gradual","suave","Comunes, débiles, finos ","1800","CFI 77","","30.0","Formación Toropí-Yupoí, areno-arcilloso, limo-arenoso y arcillo-arenoso y arenas pelíticas. ","modal","1973-10-04","La vegetación está compuesta en los géneros Proso-pis (Ñandubay y algarrobo), Aspidosperma quebracho blanco, Celtis tala, y vegetación herbácea rala.","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En la superficie del primer horizonte se observa una delgada capa de raíces, entremezcladas con el suelo.
En el segundo horizonte se observa en la masa formaciones como si fuesen vesículas de arcilla, lo cual confunde el color de la masa.

Familia: Franco-fina","true","","","Al margen izquiedo a 1000 mts. de la Estancia La Colorada y en el campo de la misma. Departamento de Esquina.","3005-A","3160-5-3","7062","-30.213825","-59.259675","","","","fresco húmedo","no uniforme","ligera","hídrica","","","Colonia","Cl","","Corrientes","","Natracualfes típicos, franco fina, mixta ","","","","ganadero","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","8.6","84","43","No presentes ","franco arcilloso"
"","","","19.0","","8.0","","73.0","6.4","3.5","0.68","8.0","22.9","","0.025","","45.7","5.7","22.3","3.0","0.3","","","","","","","13.6","","","","","84 +","","","","","","","7,5YR 5/4","7,5YR 5/6","Hierro manganeso, abundantes, medias, carbonato de calcio, abundantes, finas","duro","friable","muy adhesivo","muy plástico","bloques angulares","medios","moderado","Lentes de hierro manganeso, abundantes, lentes de calcio, abundantes","2Cn","Húmedo","7836","","","Escasos, débiles, finos ","1800","CFI 77","","30.0","Formación Toropí-Yupoí, areno-arcilloso, limo-arenoso y arcillo-arenoso y arenas pelíticas. ","modal","1973-10-04","La vegetación está compuesta en los géneros Proso-pis (Ñandubay y algarrobo), Aspidosperma quebracho blanco, Celtis tala, y vegetación herbácea rala.","FICHA CORRESPONDIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.
En la superficie del primer horizonte se observa una delgada capa de raíces, entremezcladas con el suelo.
En el segundo horizonte se observa en la masa formaciones como si fuesen vesículas de arcilla, lo cual confunde el color de la masa.

Familia: Franco-fina","true","","","Al margen izquiedo a 1000 mts. de la Estancia La Colorada y en el campo de la misma. Departamento de Esquina.","3005-A","3160-5-3","7062","-30.213825","-59.259675","","","","fresco húmedo","no uniforme","ligera","hídrica","","","Colonia","Cl","","Corrientes","","Natracualfes típicos, franco fina, mixta ","","","","ganadero","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","8.0","","84","No presentes ","franco"
