"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"3254","","16.79","17.6","","6.5","","360.0","11.5","2.9","0.79","1.6","26.26","1.36","0.134","","58.8","1.6","9.4","3.3","0.3","","","","","","","","5.6","","","","0-12","","11.6","","","","","10YR 4/2","10YR 6/2","","duro","friable","ligeramente adhesivo","ligeramente plástico","bloques subangulares","medios","moderado","","A1","Fresco","10690","gradual","suave","Escasos, débil, finos.","2384","CFI 20","","50.0","","no modal","1972-12-14","Ex arrocera","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.","true","","","En el campo de la Señora Angelita Grello. Quinta Sección de Esquina, Paraje Paso Cejas. Antigua Arrocera a un costado del camino a Sauce.","3008-A","3160-5-3","7252","-30.142564","-59.203517","Terraza","","","fresco húmedo","no uniforme","","","","","Arrocera","Arr","","Corrientes","","Argiacuoles vérticos","","","","agrícola","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","6.5","12","0","Abundantes","franco limoso"
"3255","","16.98","16.8","","6.6","","410.0","11.0","3.5","0.78","1.7","24.26","1.38","0.128","","66.4","3.8","1.1","3.7","0.4","","","","","","","","4.9","","","","12-22","","10.8","","","","","10YR 3/1","","","duro","friable","ligeramente adhesivo","ligeramente plástico","bloques angulares","medios","moderado","","A2","Húmedo","10689","gradual","suave","Abundantes, débil, finos.","2384","CFI 20","","50.0","","no modal","1972-12-14","Ex arrocera","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.","true","","","En el campo de la Señora Angelita Grello. Quinta Sección de Esquina, Paraje Paso Cejas. Antigua Arrocera a un costado del camino a Sauce.","3008-A","3160-5-3","7252","-30.142564","-59.203517","Terraza","","","fresco húmedo","no uniforme","","","","","Arrocera","Arr","","Corrientes","","Argiacuoles vérticos","","","","agrícola","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","6.6","22","12","Abundantes","franco"
"3256","","19.57","19.1","","6.8","","415.0","14.7","2.7","0.67","1.5","31.0","1.08","0.095","","52.8","0.9","10.7","4.0","0.6","","","","","","","","4.6","","","","22-31","","11.4","","","","","10YR 3/2","","","duro","friable","ligeramente adhesivo","ligeramente plástico","bloques subangulares","medios","moderado","","AB","Húmedo","10688","abrupto","suave","Comunes, débil, finos.","2384","CFI 20","","50.0","","no modal","1972-12-14","Ex arrocera","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.","true","","","En el campo de la Señora Angelita Grello. Quinta Sección de Esquina, Paraje Paso Cejas. Antigua Arrocera a un costado del camino a Sauce.","3008-A","3160-5-3","7252","-30.142564","-59.203517","Terraza","","","fresco húmedo","no uniforme","","","","","Arrocera","Arr","","Corrientes","","Argiacuoles vérticos","","","","agrícola","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","6.8","31","22","Comunes","franco arcillo limoso"
"3257","","27.54","27.9","","6.6","","313.0","20.5","4.6","0.94","1.5","46.0","0.81","0.084","","40.1","1.7","8.7","3.1","0.4","","","","","","","","6.5","","","","31-47","","9.6","","","clsk muy abundante; slck muy abundante.","","10YR 3/1","","Hierro y manganeso, abundantes, pequeños.","muy duro","firme","muy adhesivo","muy plástico","prismas compuestos regulares","gruesos","fuerte","Lentes de FeMn escasos, chorreaduras finas.","Btss1","Húmedo","10687","gradual","suave","Comunes, débil, finos.","2384","CFI 20","","50.0","","no modal","1972-12-14","Ex arrocera","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.","true","","","En el campo de la Señora Angelita Grello. Quinta Sección de Esquina, Paraje Paso Cejas. Antigua Arrocera a un costado del camino a Sauce.","3008-A","3160-5-3","7252","-30.142564","-59.203517","Terraza","","","fresco húmedo","no uniforme","","","","","Arrocera","Arr","","Corrientes","","Argiacuoles vérticos","","","","agrícola","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","6.6","47","31","","arcilloso limoso"
"3258","","30.17","31.7","","6.8","","400.0","24.0","4.0","1.07","1.1","45.6","0.65","0.058","","42.4","0.2","8.2","3.1","0.5","","","","","","","","5.7","","","","47-65","","11.2","","","clsk abundante; slck abundante.","","10YR 4/2","","Hierro y manganeso.","muy duro","firme","muy adhesivo","muy plástico","prismas compuestos irregulares","medios","moderado","Lentes de FeMn, gravillas.","Btss2","Húmedo","10686","claro","suave","Comunes, débil, finos.","2384","CFI 20","","50.0","","no modal","1972-12-14","Ex arrocera","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.","true","","","En el campo de la Señora Angelita Grello. Quinta Sección de Esquina, Paraje Paso Cejas. Antigua Arrocera a un costado del camino a Sauce.","3008-A","3160-5-3","7252","-30.142564","-59.203517","Terraza","","","fresco húmedo","no uniforme","","","","","Arrocera","Arr","","Corrientes","","Argiacuoles vérticos","","","","agrícola","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","6.8","65","47","","arcilloso limoso"
"3259","","30.82","31.3","","7.2","","330.0","23.8","4.9","1.12","1.0","41.0","0.53","0.045","","45.1","2.6","7.8","3.0","0.5","","","","","","","","4.6","","","","65-87","","11.8","","","clsk escaso.","","7.5YR 4/4","","Carbonatos de calcio, abundantes, pequeños. Hierro y manganeso, escasos, pequeños.","duro","friable","muy adhesivo","muy plástico","bloques angulares","medios","moderado","Lentes de calcio abundantes, lentes de FeMn abundantes, gravillas finas.","2Btk","Húmedo","10685","gradual","suave","Escasos, débil, finos.","2384","CFI 20","","50.0","","no modal","1972-12-14","Ex arrocera","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.","true","","","En el campo de la Señora Angelita Grello. Quinta Sección de Esquina, Paraje Paso Cejas. Antigua Arrocera a un costado del camino a Sauce.","3008-A","3160-5-3","7252","-30.142564","-59.203517","Terraza","","","fresco húmedo","no uniforme","","","","","Arrocera","Arr","","Corrientes","","Argiacuoles vérticos","","","","agrícola","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","7.2","87","65","","arcilloso limoso"
"3260","","25.21","24.8","","7.4","","357.0","18.4","4.4","1.31","1.1","29.6","0.09","0.032","","63.6","1.2","3.9","1.5","0.2","","","","","","","","4.2","","","","87 +","","2.8","","","clsk abundante; slck abundante.","","7.5YR 5/4","","","duro","friable","muy adhesivo","plástico","bloques angulares","medios","débil","Chorreaduras oscuras. lentes de FeMn escasos, gravillas, lentes de calcio.","2BCk","Húmedo","10684","","","","2384","CFI 20","","50.0","","no modal","1972-12-14","Ex arrocera","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVERSIONES.","true","","","En el campo de la Señora Angelita Grello. Quinta Sección de Esquina, Paraje Paso Cejas. Antigua Arrocera a un costado del camino a Sauce.","3008-A","3160-5-3","7252","-30.142564","-59.203517","Terraza","","","fresco húmedo","no uniforme","","","","","Arrocera","Arr","","Corrientes","","Argiacuoles vérticos","","","","agrícola","subnormal","lenta","muy lento","0 - 1%","clase 2","clase 2","","7.4","","87","","franco arcillo limoso"
