"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","45.0","","","6.2","","","","9.5","4.5","1.62","4.2","21.0","1.55","0.13","","54.0","","","25.0","","","","","0.0","","","4.62","","","","","0-24","","12.0","","","+","","","5 YR 3/2","","extremadamente duro","extremadamente firme","muy adhesivo","muy plástico","bloques subangulares","medios","moderado","","A","F","9881","claro","","","2199","AC 267","","80.0","Sedimentos fluviales","modal","2002-08-01","Aibal","Archivo adjunto.","true","s w","VI","10 km SO Malbrán, Depto Aguirre, SE.","","","","-29.36","-62.58","Bajo tendido, vía de desague natural","","MNst-1","","no uniforme","nula","","","","Aibal","Aib","","Santiago del Estero","","","","","","ganadero","cóncavo","moderadamente lenta","muy lento","0 - 1%","clase 2","clase 2","bajo","","24","0","RRR","franco limoso"
"","51.0","","","6.6","","","","13.2","5.6","1.62","9.3","27.0","0.52","0.05","","49.0","","","24.0","","","","","0.0","","","11.9","","","","","24-45","","10.0","","","++","","5 YR 3/2","","","","friable","adhesivo","plástico","bloques subangulares","gruesos","fuerte","","B21","H","9882","claro","suave","","2199","AC 267","","80.0","Sedimentos fluviales","modal","2002-08-01","Aibal","Archivo adjunto.","true","s w","VI","10 km SO Malbrán, Depto Aguirre, SE.","","","","-29.36","-62.58","Bajo tendido, vía de desague natural","","MNst-1","","no uniforme","nula","","","","Aibal","Aib","","Santiago del Estero","","","","","","ganadero","cóncavo","moderadamente lenta","muy lento","0 - 1%","clase 2","clase 2","bajo","","45","24","R","franco limoso"
"","49.0","","","6.9","","","","10.9","6.7","1.76","9.1","27.0","0.3","0.04","","47.0","","","26.0","","","","","0.0","","","13.6","","","","","45-73","","8.0","","","++","","10 YR 4/3","","","","friable","adhesivo","plástico","bloques subangulares","gruesos","fuerte","","B22","H","9883","claro","suave","e","2199","AC 267","","80.0","Sedimentos fluviales","modal","2002-08-01","Aibal","Archivo adjunto.","true","s w","VI","10 km SO Malbrán, Depto Aguirre, SE.","","","","-29.36","-62.58","Bajo tendido, vía de desague natural","","MNst-1","","no uniforme","nula","","","","Aibal","Aib","","Santiago del Estero","","","","","","ganadero","cóncavo","moderadamente lenta","muy lento","0 - 1%","clase 2","clase 2","bajo","","73","45","R","franco limoso"
"","46.0","","","7.1","","","","20.0","5.6","1.82","9.5","23.0","0.22","0.03","","45.0","","","32.0","","","","","0.0","","","12.7","","","","","73-93","","7.0","","","","","5 YR 3/3","","","","","adhesivo","plástico","bloques subangulares","gruesos","moderado","","B3","M","9884","claro","suave","a","2199","AC 267","","80.0","Sedimentos fluviales","modal","2002-08-01","Aibal","Archivo adjunto.","true","s w","VI","10 km SO Malbrán, Depto Aguirre, SE.","","","","-29.36","-62.58","Bajo tendido, vía de desague natural","","MNst-1","","no uniforme","nula","","","","Aibal","Aib","","Santiago del Estero","","","","","","ganadero","cóncavo","moderadamente lenta","muy lento","0 - 1%","clase 2","clase 2","bajo","","93","73","","franco"
"","40.0","","","7.2","","","","","","2.16","9.5","8.0","0.19","0.03","","28.0","","","64.0","","","","","1.5","","","11.0","","","","","+ 93","","6.0","","","","","5 YR 3/3","","++","","","adhesivo","plástico","masiva","","","","C1ca","M","9885","","","","2199","AC 267","","80.0","Sedimentos fluviales","modal","2002-08-01","Aibal","Archivo adjunto.","true","s w","VI","10 km SO Malbrán, Depto Aguirre, SE.","","","","-29.36","-62.58","Bajo tendido, vía de desague natural","","MNst-1","","no uniforme","nula","","","","Aibal","Aib","","Santiago del Estero","","","","","","ganadero","cóncavo","moderadamente lenta","muy lento","0 - 1%","clase 2","clase 2","bajo","","0","93","","franco arenoso"
